theta,beta,x,y,phase
0.753029,-0.817165,-0.117112,-0.103092,swing
0.745766,-0.802157,-0.115002,-0.104365,swing
0.738716,-0.787411,-0.112924,-0.105583,swing
0.747443,-0.832497,-0.118245,-0.100933,swing
0.740082,-0.817342,-0.116137,-0.102244,swing
0.748809,-0.832689,-0.118371,-0.100996,swing
0.741434,-0.817520,-0.116259,-0.102309,swing
0.750160,-0.833110,-0.118518,-0.101031,swing
0.742769,-0.817925,-0.116403,-0.102347,swing
0.751496,-0.833846,-0.118697,-0.101028,swing
0.744086,-0.818640,-0.116577,-0.102348,swing
0.752812,-0.834978,-0.118913,-0.100976,swing
0.745379,-0.819746,-0.116790,-0.102302,swing
0.738167,-0.804779,-0.114699,-0.103570,swing
0.746894,-0.837588,-0.118715,-0.100296,swing
0.739496,-0.822383,-0.116606,-0.101620,swing
0.748223,-0.840044,-0.119065,-0.100087,swing
0.740789,-0.824798,-0.116951,-0.101420,swing
0.749516,-0.843153,-0.119476,-0.099796,swing
0.752792,-0.844973,-0.119915,-0.099781,swing
0.751606,-0.846981,-0.120022,-0.099467,swing
0.750314,-0.849184,-0.120139,-0.099123,swing
0.748915,-0.851590,-0.120267,-0.098748,swing
0.747407,-0.854207,-0.120406,-0.098341,swing
0.745788,-0.857040,-0.120556,-0.097901,swing
0.744056,-0.860097,-0.120717,-0.097427,swing
0.742209,-0.863385,-0.120890,-0.096918,swing
0.740246,-0.866910,-0.121074,-0.096373,swing
0.738167,-0.870679,-0.121270,-0.095792,swing
0.735970,-0.874697,-0.121477,-0.095174,swing
0.733654,-0.878970,-0.121697,-0.094517,swing
0.731220,-0.883504,-0.121928,-0.093822,swing
0.728667,-0.888304,-0.122170,-0.093087,swing
0.725995,-0.893376,-0.122423,-0.092312,swing
0.723204,-0.898724,-0.122687,-0.091495,swing
0.720295,-0.904355,-0.122962,-0.090638,swing
0.717267,-0.910271,-0.123248,-0.089738,swing
0.714122,-0.916478,-0.123543,-0.088795,swing
0.710861,-0.922981,-0.123847,-0.087810,swing
0.707485,-0.929782,-0.124161,-0.086781,swing
0.703994,-0.936887,-0.124482,-0.085707,swing
0.700390,-0.944299,-0.124811,-0.084589,swing
0.696675,-0.952021,-0.125147,-0.083427,swing
0.692851,-0.960058,-0.125490,-0.082219,swing
0.688918,-0.968412,-0.125837,-0.080966,swing
0.684880,-0.977087,-0.126189,-0.079666,swing
0.680737,-0.986085,-0.126545,-0.078321,swing
0.676493,-0.995409,-0.126903,-0.076930,swing
0.672150,-1.005061,-0.127262,-0.075492,swing
0.667709,-1.015045,-0.127622,-0.074007,swing
0.663175,-1.025363,-0.127981,-0.072477,swing
0.658549,-1.036015,-0.128337,-0.070899,swing
0.653834,-1.047006,-0.128691,-0.069275,swing
0.649033,-1.058335,-0.129040,-0.067604,swing
0.644149,-1.070005,-0.129383,-0.065887,swing
0.639185,-1.082018,-0.129718,-0.064123,swing
0.634145,-1.094374,-0.130045,-0.062314,swing
0.629032,-1.107075,-0.130361,-0.060458,swing
0.623848,-1.120121,-0.130666,-0.058557,swing
0.618598,-1.133514,-0.130957,-0.056610,swing
0.613286,-1.147255,-0.131233,-0.054619,swing
0.607913,-1.161343,-0.131492,-0.052583,swing
0.602486,-1.175780,-0.131733,-0.050503,swing
0.597006,-1.190565,-0.131954,-0.048379,swing
0.591478,-1.205699,-0.132154,-0.046213,swing
0.585905,-1.221181,-0.132329,-0.044005,swing
0.580292,-1.237012,-0.132480,-0.041755,swing
0.574643,-1.253191,-0.132603,-0.039464,swing
0.568961,-1.269718,-0.132698,-0.037134,swing
0.563250,-1.286592,-0.132762,-0.034765,swing
0.557515,-1.303812,-0.132793,-0.032358,swing
0.551759,-1.321378,-0.132791,-0.029914,swing
0.545986,-1.339289,-0.132752,-0.027434,swing
0.540202,-1.357544,-0.132675,-0.024919,swing
0.534409,-1.376141,-0.132559,-0.022371,swing
0.528612,-1.395080,-0.132401,-0.019790,swing
0.522815,-1.414358,-0.132200,-0.017179,swing
0.517022,-1.433974,-0.131954,-0.014539,swing
0.511238,-1.453926,-0.131661,-0.011870,swing
0.505465,-1.474213,-0.131320,-0.009175,swing
0.499710,-1.494833,-0.130929,-0.006455,swing
0.493974,-1.515784,-0.130485,-0.003712,swing
0.488264,-1.537063,-0.129988,-0.000947,swing
0.482581,-1.558668,-0.129436,0.001837,swing
0.476932,-1.580597,-0.128828,0.004639,swing
0.471319,-1.602848,-0.128161,0.007457,swing
0.465747,-1.625417,-0.127434,0.010289,swing
0.460218,-1.648303,-0.126646,0.013132,swing
0.454739,-1.671502,-0.125796,0.015986,swing
0.449311,-1.695011,-0.124882,0.018847,swing
0.443939,-1.718828,-0.123903,0.021713,swing
0.438626,-1.742949,-0.122857,0.024583,swing
0.433376,-1.767372,-0.121744,0.027453,swing
0.428192,-1.792092,-0.120562,0.030322,swing
0.423079,-1.817107,-0.119311,0.033186,swing
0.418039,-1.842413,-0.117989,0.036044,swing
0.413075,-1.868006,-0.116596,0.038893,swing
0.408191,-1.893883,-0.115131,0.041730,swing
0.403390,-1.920041,-0.113592,0.044553,swing
0.398675,-1.946474,-0.111980,0.047359,swing
0.394049,-1.973180,-0.110294,0.050145,swing
0.389515,-2.000155,-0.108534,0.052909,swing
0.385074,-2.027393,-0.106698,0.055647,swing
0.380731,-2.054892,-0.104788,0.058357,swing
0.376487,-2.082647,-0.102802,0.061036,swing
0.372344,-2.110654,-0.100741,0.063681,swing
0.368306,-2.138907,-0.098604,0.066289,swing
0.364373,-2.167404,-0.096393,0.068857,swing
0.360549,-2.196139,-0.094106,0.071382,swing
0.356834,-2.225108,-0.091745,0.073861,swing
0.353230,-2.254306,-0.089310,0.076291,swing
0.349739,-2.283728,-0.086802,0.078669,swing
0.346363,-2.313370,-0.084221,0.080993,swing
0.343102,-2.343227,-0.081569,0.083258,swing
0.339957,-2.373293,-0.078845,0.085462,swing
0.336930,-2.403565,-0.076052,0.087601,swing
0.334020,-2.434036,-0.073191,0.089674,swing
0.331229,-2.464702,-0.070263,0.091676,swing
0.328557,-2.495558,-0.067269,0.093605,swing
0.326004,-2.526598,-0.064211,0.095458,swing
0.323570,-2.557817,-0.061092,0.097232,swing
0.321255,-2.589210,-0.057912,0.098924,swing
0.319057,-2.620772,-0.054674,0.100531,swing
0.316978,-2.652497,-0.051380,0.102050,swing
0.315015,-2.684380,-0.048033,0.103479,swing
0.313168,-2.716415,-0.044635,0.104815,swing
0.311436,-2.748597,-0.041189,0.106055,swing
0.309817,-2.780920,-0.037697,0.107197,swing
0.308309,-2.813379,-0.034162,0.108238,swing
0.306910,-2.845967,-0.030588,0.109176,swing
0.305618,-2.878681,-0.026977,0.110009,swing
0.304432,-2.911512,-0.023333,0.110734,swing
0.303347,-2.944457,-0.019659,0.111350,swing
0.302362,-2.977509,-0.015959,0.111854,swing
0.301473,-3.010662,-0.012236,0.112245,swing
0.300676,-3.043910,-0.008495,0.112521,swing
0.299969,-3.077249,-0.004738,0.112681,swing
0.299346,-3.110671,-0.000971,0.112723,swing
0.298805,-3.144171,0.002802,0.112646,swing
0.298340,-3.177743,0.006578,0.112448,swing
0.297946,-3.211381,0.010353,0.112130,swing
0.297620,-3.245079,0.014120,0.111689,swing
0.297355,-3.278832,0.017877,0.111127,swing
0.297145,-3.312632,0.021618,0.110442,swing
0.296985,-3.346475,0.025340,0.109634,swing
0.296869,-3.380354,0.029036,0.108703,swing
0.296790,-3.414263,0.032702,0.107650,swing
0.296742,-3.448196,0.036334,0.106474,swing
0.296717,-3.482148,0.039927,0.105178,swing
0.296707,-3.516111,0.043475,0.103760,swing
0.296706,-3.550080,0.046974,0.102224,swing
0.296708,-3.584050,0.050418,0.100570,swing
0.296723,-3.618013,0.053805,0.098801,swing
0.296763,-3.651965,0.057130,0.096920,swing
0.296840,-3.685898,0.060389,0.094932,swing
0.296964,-3.719807,0.063579,0.092839,swing
0.297148,-3.753686,0.066696,0.090644,swing
0.297400,-3.787529,0.069739,0.088352,swing
0.297732,-3.821329,0.072704,0.085966,swing
0.298151,-3.855082,0.075589,0.083490,swing
0.298668,-3.888780,0.078390,0.080927,swing
0.299290,-3.922418,0.081107,0.078281,swing
0.300026,-3.955990,0.083737,0.075555,swing
0.300882,-3.989490,0.086279,0.072754,swing
0.301867,-4.022912,0.088730,0.069881,swing
0.302986,-4.056250,0.091089,0.066940,swing
0.304245,-4.089499,0.093355,0.063934,swing
0.305652,-4.122652,0.095527,0.060867,swing
0.307210,-4.155704,0.097604,0.057743,swing
0.308926,-4.188648,0.099586,0.054565,swing
0.310803,-4.221480,0.101470,0.051336,swing
0.312845,-4.254193,0.103258,0.048060,swing
0.315058,-4.286782,0.104948,0.044741,swing
0.317443,-4.319241,0.106541,0.041381,swing
0.320004,-4.351564,0.108036,0.037985,swing
0.322744,-4.383746,0.109433,0.034555,swing
0.325665,-4.415781,0.110732,0.031095,swing
0.328770,-4.447664,0.111934,0.027607,swing
0.332059,-4.479389,0.113038,0.024096,swing
0.335534,-4.510951,0.114046,0.020563,swing
0.339196,-4.542344,0.114957,0.017011,swing
0.343046,-4.573563,0.115773,0.013445,swing
0.347084,-4.604603,0.116493,0.009865,swing
0.351311,-4.635459,0.117119,0.006276,swing
0.355725,-4.666125,0.117652,0.002680,swing
0.360327,-4.696596,0.118092,-0.000920,swing
0.365115,-4.726868,0.118441,-0.004523,swing
0.370089,-4.756934,0.118698,-0.008125,swing
0.375247,-4.786791,0.118867,-0.011724,swing
0.380587,-4.816433,0.118946,-0.015318,swing
0.386109,-4.845855,0.118939,-0.018904,swing
0.391808,-4.875053,0.118846,-0.022480,swing
0.397684,-4.904022,0.118668,-0.026044,swing
0.403734,-4.932757,0.118407,-0.029593,swing
0.409954,-4.961253,0.118064,-0.033127,swing
0.416341,-4.989507,0.117640,-0.036641,swing
0.422893,-5.017514,0.117138,-0.040136,swing
0.429606,-5.045269,0.116558,-0.043608,swing
0.436476,-5.072767,0.115903,-0.047056,swing
0.443499,-5.100006,0.115174,-0.050477,swing
0.450671,-5.126981,0.114372,-0.053871,swing
0.457988,-5.153687,0.113500,-0.057235,swing
0.465446,-5.180120,0.112559,-0.060568,swing
0.473039,-5.206277,0.111551,-0.063869,swing
0.480764,-5.232155,0.110478,-0.067134,swing
0.488615,-5.257748,0.109341,-0.070364,swing
0.496587,-5.283054,0.108143,-0.073557,swing
0.504675,-5.308069,0.106886,-0.076710,swing
0.512873,-5.332789,0.105572,-0.079823,swing
0.521177,-5.357211,0.104203,-0.082895,swing
0.529580,-5.381333,0.102781,-0.085924,swing
0.538077,-5.405149,0.101308,-0.088909,swing
0.546662,-5.428659,0.099786,-0.091849,swing
0.555329,-5.451858,0.098218,-0.094743,swing
0.564056,-5.474743,0.096604,-0.097589,swing
0.572783,-5.497313,0.094944,-0.100381,swing
0.581509,-5.519563,0.093241,-0.103119,swing
0.590236,-5.541493,0.091498,-0.105803,swing
0.598963,-5.563098,0.089717,-0.108432,swing
0.607689,-5.584377,0.087903,-0.111005,swing
0.616416,-5.605328,0.086057,-0.113522,swing
0.625142,-5.625947,0.084183,-0.115984,swing
0.633869,-5.646235,0.082284,-0.118390,swing
0.642596,-5.666187,0.080363,-0.120740,swing
0.651322,-5.685803,0.078422,-0.123036,swing
0.660049,-5.705081,0.076465,-0.125276,swing
0.668776,-5.724020,0.074494,-0.127461,swing
0.677502,-5.742617,0.072512,-0.129593,swing
0.686229,-5.760871,0.070522,-0.131671,swing
0.694956,-5.778782,0.068526,-0.133696,swing
0.703682,-5.796349,0.066527,-0.135670,swing
0.712409,-5.813569,0.064528,-0.137592,swing
0.721136,-5.830443,0.062531,-0.139465,swing
0.729862,-5.846970,0.060538,-0.141288,swing
0.738589,-5.863149,0.058552,-0.143064,swing
0.747316,-5.878980,0.056574,-0.144793,swing
0.756042,-5.894462,0.054608,-0.146476,swing
0.764769,-5.909596,0.052655,-0.148114,swing
0.773495,-5.924381,0.050717,-0.149710,swing
0.782222,-5.938818,0.048796,-0.151263,swing
0.790949,-5.952906,0.046894,-0.152776,swing
0.799675,-5.966646,0.045013,-0.154250,swing
0.808402,-5.980040,0.043154,-0.155685,swing
0.817129,-5.993086,0.041320,-0.157085,swing
0.825855,-6.005787,0.039511,-0.158449,swing
0.834582,-6.018143,0.037730,-0.159779,swing
0.843309,-6.030156,0.035977,-0.161077,swing
0.852035,-6.041826,0.034254,-0.162345,swing
0.860762,-6.053155,0.032562,-0.163582,swing
0.869023,-6.064145,0.030895,-0.164746,swing
0.876340,-6.074798,0.029248,-0.165790,swing
0.883512,-6.085116,0.027636,-0.166793,swing
0.890535,-6.095099,0.026061,-0.167757,swing
0.897405,-6.104752,0.024524,-0.168683,swing
0.904118,-6.114076,0.023025,-0.169571,swing
0.910670,-6.123074,0.021566,-0.170423,swing
0.917058,-6.131749,0.020147,-0.171240,swing
0.923278,-6.140103,0.018769,-0.172022,swing
0.929327,-6.148139,0.017434,-0.172770,swing
0.935203,-6.155862,0.016141,-0.173485,swing
0.940903,-6.163274,0.014891,-0.174169,swing
0.946424,-6.170379,0.013684,-0.174821,swing
0.951764,-6.177180,0.012521,-0.175444,swing
0.956922,-6.183683,0.011403,-0.176036,swing
0.961896,-6.189890,0.010328,-0.176600,swing
0.966685,-6.195806,0.009298,-0.177137,swing
0.971286,-6.201436,0.008313,-0.177646,swing
0.975701,-6.206785,0.007372,-0.178129,swing
0.979927,-6.211857,0.006475,-0.178586,swing
0.983965,-6.216657,0.005622,-0.179019,swing
0.987815,-6.221191,0.004813,-0.179427,swing
0.991477,-6.225464,0.004047,-0.179812,swing
0.994953,-6.229482,0.003324,-0.180174,swing
0.998242,-6.233250,0.002644,-0.180513,swing
1.001346,-6.236775,0.002005,-0.180832,swing
1.004267,-6.240063,0.001407,-0.181129,swing
1.007007,-6.243121,0.000849,-0.181406,swing
1.009568,-6.245954,0.000330,-0.181664,swing
1.011954,-6.248571,-0.000150,-0.181902,swing
1.014166,-6.250977,-0.000592,-0.182122,swing
1.016209,-6.253180,-0.000998,-0.182324,swing
1.018086,-6.255188,-0.001369,-0.182509,swing
1.019801,-6.257008,-0.001706,-0.182678,swing
1.021359,-6.258648,-0.002011,-0.182830,swing
1.022766,-6.260117,-0.002284,-0.182967,swing
1.024026,-6.261422,-0.002527,-0.183090,swing
1.025145,-6.262573,-0.002741,-0.183199,swing
1.026129,-6.263577,-0.002928,-0.183294,swing
1.026986,-6.264444,-0.003090,-0.183377,swing
1.027721,-6.265183,-0.003228,-0.183448,swing
1.028343,-6.265803,-0.003344,-0.183508,swing
1.028860,-6.266315,-0.003440,-0.183558,swing
1.029279,-6.266727,-0.003517,-0.183598,swing
1.029611,-6.267050,-0.003578,-0.183630,swing
1.029863,-6.267295,-0.003624,-0.183655,swing
1.030047,-6.267472,-0.003657,-0.183672,swing
1.030172,-6.267591,-0.003679,-0.183684,swing
1.030248,-6.267663,-0.003693,-0.183692,swing
