x,y
-0.134867,0.068731
-0.133433,0.070718
-0.131944,0.072664
-0.130401,0.074571
-0.128806,0.076437
-0.127159,0.078264
-0.125462,0.080050
-0.123717,0.081797
-0.121924,0.083504
-0.120084,0.085170
-0.118200,0.086797
-0.116271,0.088385
-0.114300,0.089932
-0.112286,0.091439
-0.110233,0.092907
-0.108140,0.094335
-0.106009,0.095723
-0.103840,0.097071
-0.101636,0.098380
-0.099397,0.099649
-0.097125,0.100878
-0.094820,0.102067
-0.092483,0.103217
-0.090116,0.104326
-0.087720,0.105397
-0.085295,0.106427
-0.082843,0.107417
-0.080366,0.108368
-0.077863,0.109279
-0.075336,0.110151
-0.072787,0.110982
-0.070215,0.111774
-0.067623,0.112526
-0.065011,0.113239
-0.062380,0.113911
-0.059731,0.114544
-0.057066,0.115138
-0.054385,0.115691
-0.051688,0.116205
-0.048979,0.116679
-0.046256,0.117114
-0.043521,0.117509
-0.040775,0.117864
-0.038020,0.118180
-0.035255,0.118456
-0.032482,0.118692
-0.029702,0.118889
-0.026916,0.119047
-0.024125,0.119165
-0.021329,0.119243
-0.018529,0.119282
-0.015727,0.119282
-0.012924,0.119242
-0.010119,0.119163
-0.007315,0.119045
-0.004512,0.118888
-0.001710,0.118691
0.001088,0.118455
0.003884,0.118181
0.006674,0.117867
0.009460,0.117515
0.012239,0.117123
0.015012,0.116693
0.017776,0.116225
0.020532,0.115718
0.023279,0.115172
0.026015,0.114588
0.028740,0.113966
0.031454,0.113306
0.034154,0.112608
0.036842,0.111871
0.039515,0.111097
0.042173,0.110286
0.044815,0.109437
0.047441,0.108550
0.050049,0.107627
0.052639,0.106666
0.055210,0.105669
0.057762,0.104635
0.060293,0.103564
0.062804,0.102457
0.065292,0.101314
0.067758,0.100134
0.070200,0.098919
0.072619,0.097669
0.075012,0.096383
0.077381,0.095062
0.079723,0.093707
0.082038,0.092316
0.084326,0.090892
0.086585,0.089433
0.088816,0.087940
0.091017,0.086414
0.093187,0.084855
0.095327,0.083262
0.097434,0.081637
0.099510,0.079979
0.101552,0.078290
0.103561,0.076569
0.105536,0.074816
0.107475,0.073032
0.109379,0.071218
0.111247,0.069373
0.113078,0.067499
0.114871,0.065594
0.116626,0.063661
0.118342,0.061699
0.120019,0.059708
0.121655,0.057690
0.123251,0.055644
0.124806,0.053571
0.126319,0.051472
0.127789,0.049346
0.129216,0.047195
0.130599,0.045019
0.131939,0.042818
0.133233,0.040593
0.134481,0.038344
0.135684,0.036072
0.136840,0.033778
0.137949,0.031462
0.139009,0.029125
0.140022,0.026766
0.140985,0.024388
0.141899,0.021990
0.142763,0.019573
0.143576,0.017138
0.144338,0.014685
0.145048,0.012215
0.145705,0.009729
0.146310,0.007227
0.146861,0.004710
0.147358,0.002179
0.147801,-0.000365
0.148189,-0.002923
0.148521,-0.005492
0.148796,-0.008072
0.149015,-0.010663
0.149177,-0.013264
0.149281,-0.015873
0.149327,-0.018491
0.149314,-0.021115
0.149241,-0.023746
0.149109,-0.026382
0.148916,-0.029023
0.148662,-0.031667
0.148347,-0.034314
0.147970,-0.036963
0.147530,-0.039613
0.147028,-0.042263
0.146462,-0.044911
0.145832,-0.047557
0.145137,-0.050201
0.144377,-0.052840
0.143552,-0.055474
0.142661,-0.058101
0.141704,-0.060722
0.140679,-0.063333
0.139587,-0.065936
0.138427,-0.068527
0.137199,-0.071107
0.135901,-0.073674
0.134534,-0.076227
0.133097,-0.078764
0.131590,-0.081285
0.130011,-0.083788
0.128362,-0.086272
0.126640,-0.088735
0.124846,-0.091177
0.122979,-0.093596
0.121039,-0.095991
0.119025,-0.098360
0.116936,-0.100702
0.114773,-0.103016
0.112534,-0.105300
0.110220,-0.107553
0.107829,-0.109774
0.105362,-0.111960
0.102818,-0.114111
0.100196,-0.116225
0.097495,-0.118300
0.094716,-0.120335
0.091858,-0.122329
0.088921,-0.124279
0.085903,-0.126184
0.082805,-0.128044
0.079625,-0.129855
0.076365,-0.131616
0.073022,-0.133326
0.069597,-0.134983
0.066089,-0.136585
0.062498,-0.138131
0.058822,-0.139618
0.055063,-0.141045
0.051218,-0.142410
0.047289,-0.143712
0.043273,-0.144948
0.039172,-0.146116
0.034983,-0.147215
0.030708,-0.148243
0.026345,-0.149198
