theta0,beta0,theta1,beta1,theta2,beta2,theta3,beta3,swing_phase0,swing_phase1,swing_phase2,swing_phase3,foothold0_x,foothold0_y,foothold0_z,foothold1_x,foothold1_y,foothold1_z,foothold2_x,foothold2_y,foothold2_z,foothold3_x,foothold3_y,foothold3_z
0.702028,-0.193926,0.799803,0.455492,0.704760,0.204540,1.080522,0.761156,0,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.702028,-0.193926,0.799803,0.455492,0.704760,0.204540,1.080522,0.761156,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.702028,-0.193926,0.799597,0.455221,0.704675,0.204213,1.080210,0.760949,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.702028,-0.193926,0.799597,0.455221,0.704675,0.204213,1.080210,0.760949,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.702020,-0.193946,0.799392,0.454951,0.704589,0.203885,1.079897,0.760742,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.702020,-0.193946,0.799392,0.454951,0.704589,0.203885,1.079897,0.760742,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701998,-0.194006,0.799187,0.454680,0.704504,0.203558,1.079585,0.760534,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701998,-0.194006,0.799187,0.454680,0.704504,0.203558,1.079585,0.760534,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701960,-0.194105,0.798981,0.454409,0.704419,0.203230,1.079272,0.760327,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701960,-0.194105,0.798981,0.454409,0.704419,0.203230,1.079272,0.760327,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701907,-0.194244,0.798776,0.454138,0.704333,0.202903,1.078960,0.760119,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.701907,-0.194244,0.798776,0.454138,0.704333,0.202903,1.078960,0.760119,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
