theta,beta,x,y,phase
0.796741,0.484476,0.043585,-0.147444,initial
0.796081,0.483297,0.043480,-0.147443,touchdown
0.795422,0.482118,0.043375,-0.147443,touchdown
0.794765,0.480937,0.043271,-0.147443,touchdown
0.794110,0.479755,0.043166,-0.147443,touchdown
0.793457,0.478573,0.043062,-0.147443,touchdown
0.792806,0.477389,0.042958,-0.147443,touchdown
0.792157,0.476205,0.042855,-0.147443,touchdown
0.791509,0.475020,0.042751,-0.147443,touchdown
0.790863,0.473833,0.042648,-0.147443,touchdown
0.790220,0.472646,0.042545,-0.147443,touchdown
0.789578,0.471458,0.042442,-0.147443,touchdown
0.788938,0.470269,0.042340,-0.147443,touchdown
0.788299,0.469079,0.042237,-0.147443,touchdown
0.787663,0.467888,0.042135,-0.147443,touchdown
0.787028,0.466697,0.042033,-0.147443,touchdown
0.786396,0.465504,0.041931,-0.147443,touchdown
0.785765,0.464311,0.041830,-0.147443,touchdown
0.785136,0.463116,0.041728,-0.147443,touchdown
0.784508,0.461921,0.041627,-0.147443,touchdown
0.783883,0.460725,0.041526,-0.147443,touchdown
0.783259,0.459528,0.041425,-0.147443,touchdown
0.782637,0.458330,0.041325,-0.147443,touchdown
0.782017,0.457131,0.041224,-0.147443,touchdown
0.781399,0.455932,0.041124,-0.147443,touchdown
0.780782,0.454731,0.041024,-0.147443,touchdown
0.780168,0.453530,0.040925,-0.147443,touchdown
0.779555,0.452327,0.040825,-0.147443,touchdown
0.778944,0.451124,0.040726,-0.147443,touchdown
0.778334,0.449920,0.040627,-0.147443,touchdown
0.777727,0.448715,0.040528,-0.147443,touchdown
0.777121,0.447509,0.040429,-0.147443,touchdown
0.776517,0.446303,0.040330,-0.147443,touchdown
0.775915,0.445095,0.040232,-0.147443,touchdown
0.775314,0.443887,0.040134,-0.147443,touchdown
0.774715,0.442678,0.040036,-0.147443,touchdown
0.774118,0.441468,0.039938,-0.147443,touchdown
0.773523,0.440257,0.039841,-0.147443,touchdown
0.772929,0.439046,0.039743,-0.147443,touchdown
0.772338,0.437833,0.039646,-0.147443,touchdown
0.771748,0.436620,0.039549,-0.147443,touchdown
0.771159,0.435406,0.039452,-0.147443,touchdown
0.770573,0.434191,0.039356,-0.147442,touchdown
0.769988,0.432975,0.039259,-0.147442,touchdown
0.769405,0.431758,0.039163,-0.147442,touchdown
0.768823,0.430541,0.039067,-0.147442,touchdown
0.768243,0.429322,0.038971,-0.147442,touchdown
0.767665,0.428103,0.038876,-0.147442,touchdown
0.767089,0.426883,0.038780,-0.147442,touchdown
0.766514,0.425663,0.038685,-0.147442,touchdown
0.765941,0.424441,0.038590,-0.147442,touchdown
0.765370,0.423219,0.038495,-0.147442,touchdown
0.764801,0.421996,0.038401,-0.147442,touchdown
0.764233,0.420772,0.038306,-0.147442,touchdown
0.763667,0.419547,0.038212,-0.147442,touchdown
