i,theta (deg),beta (deg),height (mm)
0,49.9281,44.9755,0.129699
1,49.89,44.9498,0.129699
2,49.8519,44.924,0.129699
3,49.8139,44.8983,0.129699
4,49.7758,44.8725,0.129699
5,49.7378,44.8467,0.129699
6,49.6998,44.8209,0.129699
7,49.6619,44.7951,0.129699
8,49.6239,44.7692,0.129699
9,49.586,44.7433,0.129699
10,49.5481,44.7174,0.129699
11,49.5103,44.6915,0.129699
12,49.4724,44.6655,0.129699
13,49.4346,44.6396,0.129699
14,49.3968,44.6136,0.129699
15,49.359,44.5876,0.129699
16,49.3212,44.5616,0.129699
17,49.2835,44.5355,0.129699
18,49.2458,44.5094,0.129699
19,49.2081,44.4833,0.129699
20,49.1705,44.4572,0.129699
21,49.1328,44.4311,0.129699
22,49.0952,44.4049,0.129699
23,49.0576,44.3788,0.129699
24,49.0201,44.3526,0.129699
25,48.9825,44.3263,0.129699
26,48.945,44.3001,0.129699
27,48.9075,44.2738,0.129699
28,48.87,44.2475,0.129699
29,48.8326,44.2212,0.129699
30,48.7952,44.1949,0.129699
31,48.7578,44.1685,0.129699
32,48.7204,44.1422,0.129699
33,48.683,44.1158,0.129699
34,48.6457,44.0894,0.129699
35,48.6084,44.0629,0.129699
36,48.5711,44.0365,0.129699
37,48.5339,44.01,0.129699
38,48.4966,43.9835,0.129699
39,48.4594,43.957,0.129699
40,48.4222,43.9304,0.129699
41,48.3851,43.9039,0.129699
42,48.3479,43.8773,0.129699
43,48.3108,43.8507,0.129699
44,48.2737,43.824,0.129699
45,48.2366,43.7974,0.129699
46,48.1996,43.7707,0.129699
47,48.1626,43.744,0.129699
48,48.1256,43.7173,0.129699
49,48.0886,43.6906,0.129699
50,48.0517,43.6638,0.129699
51,48.0147,43.637,0.129699
52,47.9778,43.6102,0.129699
53,47.9409,43.5834,0.129699
54,47.9041,43.5565,0.129699
55,47.8673,43.5297,0.129699
56,47.8305,43.5028,0.129699
57,47.7937,43.4759,0.129699
58,47.7569,43.4489,0.129699
59,47.7202,43.422,0.129699
60,47.6835,43.395,0.129699
61,47.6468,43.368,0.129699
62,47.6101,43.341,0.129699
63,47.5735,43.314,0.129699
64,47.5369,43.2869,0.129699
65,47.5003,43.2598,0.129699
66,47.4637,43.2327,0.129699
67,47.4272,43.2056,0.129699
68,47.3906,43.1784,0.129699
69,47.3541,43.1513,0.129699
70,47.3177,43.1241,0.129699
71,47.2812,43.0968,0.129699
72,47.2448,43.0696,0.129699
73,47.2084,43.0423,0.129699
74,47.172,43.0151,0.129699
75,47.1357,42.9878,0.129699
76,47.0993,42.9604,0.129699
77,47.063,42.9331,0.129699
78,47.0268,42.9057,0.129699
79,46.9905,42.8783,0.129699
80,46.9543,42.8509,0.129699
81,46.9181,42.8235,0.129699
82,46.8819,42.796,0.129699
83,46.8457,42.7686,0.129699
84,46.8096,42.7411,0.129699
85,46.7735,42.7135,0.129699
86,46.7374,42.686,0.129699
87,46.7013,42.6584,0.129699
88,46.6653,42.6309,0.129699
89,46.6293,42.6032,0.129699
90,46.5933,42.5756,0.129699
91,46.5573,42.548,0.129699
92,46.5214,42.5203,0.129699
93,46.4855,42.4926,0.129699
94,46.4496,42.4649,0.129699
95,46.4137,42.4371,0.129699
96,46.3779,42.4094,0.129699
97,46.342,42.3816,0.129699
98,46.3062,42.3538,0.129699
99,46.2705,42.326,0.129699
100,46.2347,42.2981,0.129699
101,46.199,42.2702,0.129699
102,46.1633,42.2423,0.129699
103,46.1276,42.2144,0.129699
104,46.092,42.1865,0.129699
105,46.0563,42.1585,0.129699
106,46.0207,42.1306,0.129699
107,45.9852,42.1026,0.129699
108,45.9496,42.0745,0.129699
109,45.9141,42.0465,0.129699
110,45.8786,42.0184,0.129699
111,45.8431,41.9903,0.129699
112,45.8076,41.9622,0.129699
113,45.7722,41.9341,0.129699
114,45.7368,41.9059,0.129699
115,45.7014,41.8777,0.129699
116,45.666,41.8495,0.129699
117,45.6307,41.8213,0.129699
118,45.5954,41.7931,0.129699
119,45.5601,41.7648,0.129699
120,45.5248,41.7365,0.129699
121,45.4896,41.7082,0.129699
122,45.4544,41.6799,0.129699
123,45.4192,41.6515,0.129699
124,45.384,41.6231,0.129699
125,45.3489,41.5947,0.129699
126,45.3138,41.5663,0.129699
127,45.2787,41.5379,0.129699
128,45.2436,41.5094,0.129699
129,45.2085,41.4809,0.129699
130,45.1735,41.4524,0.129699
131,45.1385,41.4239,0.129699
132,45.1035,41.3953,0.129699
133,45.0686,41.3667,0.129699
134,45.0337,41.3381,0.129699
135,44.9988,41.3095,0.129699
136,44.9639,41.2809,0.129699
137,44.929,41.2522,0.129699
138,44.8942,41.2235,0.129699
139,44.8594,41.1948,0.129699
140,44.8246,41.1661,0.129699
141,44.7899,41.1373,0.129699
142,44.7551,41.1086,0.129699
143,44.7204,41.0798,0.129699
144,44.6858,41.0509,0.129699
145,44.6511,41.0221,0.129699
146,44.6165,40.9932,0.129699
147,44.5819,40.9643,0.129699
148,44.5473,40.9354,0.129699
149,44.5127,40.9065,0.129699
150,44.4782,40.8775,0.129699
151,44.4437,40.8486,0.129699
152,44.4092,40.8196,0.129699
153,44.3747,40.7906,0.129699
154,44.3403,40.7615,0.129699
155,44.3059,40.7324,0.129699
156,44.2715,40.7034,0.129699
157,44.2371,40.6743,0.129699
158,44.2028,40.6451,0.129699
159,44.1684,40.616,0.129699
160,44.1342,40.5868,0.129699
161,44.0999,40.5576,0.129699
162,44.0656,40.5284,0.129699
163,44.0314,40.4991,0.129699
164,43.9972,40.4699,0.129699
165,43.963,40.4406,0.129699
166,43.9289,40.4113,0.129699
167,43.8948,40.3819,0.129699
168,43.8607,40.3526,0.129699
169,43.8266,40.3232,0.129699
170,43.7925,40.2938,0.129699
171,43.7585,40.2644,0.129699
172,43.7245,40.2349,0.129699
173,43.6905,40.2055,0.129699
174,43.6566,40.176,0.129699
175,43.6227,40.1465,0.129699
176,43.5888,40.1169,0.129699
177,43.5549,40.0874,0.129699
178,43.521,40.0578,0.129699
179,43.4872,40.0282,0.129699
180,43.4534,39.9986,0.129699
181,43.4196,39.969,0.129699
182,43.3858,39.9393,0.129699
183,43.3521,39.9096,0.129699
184,43.3184,39.8799,0.129699
