theta,beta,x,y,phase
0.834304,-1.405328,-0.052123,0.118780,swing
0.834305,-1.413128,-0.051195,0.119183,swing
0.834306,-1.420941,-0.050262,0.119579,swing
0.834306,-1.428767,-0.049325,0.119969,swing
0.834307,-1.436605,-0.048383,0.120351,swing
0.834308,-1.444457,-0.047437,0.120728,swing
0.834309,-1.452321,-0.046486,0.121097,swing
0.834310,-1.460197,-0.045531,0.121459,swing
0.834311,-1.468086,-0.044572,0.121815,swing
0.834312,-1.475987,-0.043608,0.122163,swing
0.834313,-1.483901,-0.042640,0.122504,swing
0.834313,-1.491827,-0.041668,0.122839,swing
0.834314,-1.499766,-0.040691,0.123165,swing
0.834315,-1.507716,-0.039711,0.123485,swing
0.834316,-1.515679,-0.038726,0.123797,swing
0.834317,-1.523654,-0.037738,0.124102,swing
0.834318,-1.531640,-0.036746,0.124400,swing
0.834319,-1.539639,-0.035750,0.124690,swing
0.834320,-1.547649,-0.034750,0.124972,swing
0.834321,-1.555672,-0.033746,0.125247,swing
0.834321,-1.563706,-0.032739,0.125514,swing
0.834322,-1.571751,-0.031728,0.125773,swing
0.834323,-1.579808,-0.030714,0.126025,swing
0.834324,-1.587877,-0.029696,0.126268,swing
0.834325,-1.595957,-0.028675,0.126504,swing
0.834326,-1.604049,-0.027651,0.126732,swing
0.834327,-1.612152,-0.026623,0.126952,swing
0.834328,-1.620266,-0.025592,0.127164,swing
0.834329,-1.628392,-0.024558,0.127368,swing
0.834330,-1.636529,-0.023521,0.127563,swing
0.834330,-1.644676,-0.022481,0.127751,swing
0.834331,-1.652835,-0.021438,0.127930,swing
0.834332,-1.661005,-0.020392,0.128101,swing
0.834333,-1.669185,-0.019344,0.128263,swing
0.834334,-1.677377,-0.018292,0.128418,swing
0.834335,-1.685579,-0.017239,0.128563,swing
0.834336,-1.693792,-0.016182,0.128701,swing
0.834337,-1.702015,-0.015123,0.128829,swing
0.834338,-1.710249,-0.014062,0.128949,swing
0.834339,-1.718494,-0.012999,0.129061,swing
0.834340,-1.726749,-0.011933,0.129164,swing
0.834340,-1.735014,-0.010865,0.129258,swing
0.834341,-1.743290,-0.009795,0.129344,swing
0.834342,-1.751576,-0.008723,0.129421,swing
0.834343,-1.759872,-0.007649,0.129488,swing
0.834344,-1.768178,-0.006574,0.129548,swing
0.834345,-1.776494,-0.005496,0.129598,swing
0.834346,-1.784821,-0.004417,0.129639,swing
0.834347,-1.793157,-0.003336,0.129671,swing
0.834348,-1.801503,-0.002254,0.129695,swing
0.834349,-1.809859,-0.001170,0.129709,swing
0.834350,-1.818224,-0.000085,0.129714,swing
0.834351,-1.826599,0.001001,0.129711,swing
0.834352,-1.834984,0.002088,0.129698,swing
0.834352,-1.843379,0.003177,0.129676,swing
0.834353,-1.851782,0.004267,0.129644,swing
0.834354,-1.860196,0.005357,0.129604,swing
0.834355,-1.868618,0.006448,0.129554,swing
0.834356,-1.877050,0.007540,0.129495,swing
0.834357,-1.885491,0.008633,0.129427,swing
0.834358,-1.893941,0.009726,0.129350,swing
0.834359,-1.902400,0.010820,0.129263,swing
0.834360,-1.910869,0.011914,0.129166,swing
0.834361,-1.919346,0.013009,0.129061,swing
0.834362,-1.927832,0.014103,0.128946,swing
0.834363,-1.936327,0.015198,0.128821,swing
0.834364,-1.944830,0.016293,0.128688,swing
0.834365,-1.953343,0.017388,0.128544,swing
0.834366,-1.961864,0.018482,0.128392,swing
0.834367,-1.970393,0.019577,0.128229,swing
0.834368,-1.978931,0.020671,0.128058,swing
0.834368,-1.987478,0.021764,0.127876,swing
0.834369,-1.996033,0.022857,0.127685,swing
0.834370,-2.004596,0.023950,0.127485,swing
0.834371,-2.013167,0.025042,0.127275,swing
0.834372,-2.021747,0.026132,0.127056,swing
0.834373,-2.030335,0.027223,0.126827,swing
0.834374,-2.038930,0.028312,0.126588,swing
0.834375,-2.047534,0.029400,0.126340,swing
0.834376,-2.056146,0.030486,0.126082,swing
0.834377,-2.064765,0.031572,0.125815,swing
0.834378,-2.073392,0.032656,0.125538,swing
0.834379,-2.082027,0.033739,0.125251,swing
0.834380,-2.090670,0.034820,0.124955,swing
0.834381,-2.099320,0.035899,0.124649,swing
0.834382,-2.107978,0.036977,0.124334,swing
0.834383,-2.116643,0.038053,0.124009,swing
0.834384,-2.125316,0.039127,0.123674,swing
0.834385,-2.133996,0.040199,0.123330,swing
0.834386,-2.142683,0.041269,0.122976,swing
0.834387,-2.151377,0.042336,0.122612,swing
0.834388,-2.160079,0.043401,0.122240,swing
0.834389,-2.168788,0.044464,0.121857,swing
0.834390,-2.177503,0.045525,0.121465,swing
0.834391,-2.186226,0.046582,0.121063,swing
0.834391,-2.194955,0.047637,0.120652,swing
0.834392,-2.203692,0.048689,0.120231,swing
0.834393,-2.212435,0.049739,0.119801,swing
0.834394,-2.221185,0.050785,0.119361,swing
0.834395,-2.229941,0.051828,0.118912,swing
0.834396,-2.238704,0.052868,0.118454,swing
0.834397,-2.247473,0.053905,0.117985,swing
0.834398,-2.256249,0.054938,0.117508,swing
0.834399,-2.265031,0.055968,0.117021,swing
0.834400,-2.273820,0.056994,0.116525,swing
0.834401,-2.282615,0.058016,0.116019,swing
0.834402,-2.291416,0.059035,0.115504,swing
0.834403,-2.300223,0.060050,0.114980,swing
0.834404,-2.309036,0.061061,0.114446,swing
0.834405,-2.317855,0.062068,0.113903,swing
0.834406,-2.326680,0.063070,0.113351,swing
0.834407,-2.335511,0.064069,0.112790,swing
0.834408,-2.344347,0.065063,0.112219,swing
0.834409,-2.353190,0.066053,0.111640,swing
0.834410,-2.362038,0.067038,0.111051,swing
0.834411,-2.370891,0.068018,0.110453,swing
0.834412,-2.379750,0.068994,0.109846,swing
0.834413,-2.388615,0.069965,0.109231,swing
0.834414,-2.397485,0.070931,0.108606,swing
0.834415,-2.406360,0.071892,0.107972,swing
0.834416,-2.415241,0.072848,0.107329,swing
0.834417,-2.424126,0.073799,0.106678,swing
0.834418,-2.433017,0.074744,0.106018,swing
0.834419,-2.441913,0.075684,0.105349,swing
0.834420,-2.450814,0.076619,0.104671,swing
0.834421,-2.459720,0.077548,0.103985,swing
0.834422,-2.468631,0.078472,0.103290,swing
0.834423,-2.477547,0.079389,0.102586,swing
0.834424,-2.486467,0.080301,0.101874,swing
0.834425,-2.495392,0.081207,0.101153,swing
0.834426,-2.504322,0.082107,0.100424,swing
0.834427,-2.513256,0.083001,0.099687,swing
0.834428,-2.522195,0.083889,0.098941,swing
0.834429,-2.531138,0.084770,0.098187,swing
0.834430,-2.540085,0.085645,0.097424,swing
0.834431,-2.549037,0.086514,0.096654,swing
0.834432,-2.557993,0.087376,0.095875,swing
0.834433,-2.566953,0.088231,0.095089,swing
0.834434,-2.575918,0.089080,0.094294,swing
0.834435,-2.584886,0.089922,0.093491,swing
0.834436,-2.593858,0.090757,0.092681,swing
0.834437,-2.602834,0.091586,0.091863,swing
0.834438,-2.611814,0.092407,0.091037,swing
0.834439,-2.620798,0.093221,0.090203,swing
0.834440,-2.629786,0.094028,0.089361,swing
0.834441,-2.638777,0.094827,0.088513,swing
0.834442,-2.647772,0.095620,0.087656,swing
0.834443,-2.656770,0.096404,0.086792,swing
0.834444,-2.665772,0.097182,0.085921,swing
0.834445,-2.674777,0.097951,0.085043,swing
0.834446,-2.683786,0.098714,0.084157,swing
0.834447,-2.692798,0.099468,0.083264,swing
0.834448,-2.701812,0.100214,0.082364,swing
0.834449,-2.710831,0.100953,0.081457,swing
0.834450,-2.719852,0.101684,0.080543,swing
0.834451,-2.728876,0.102406,0.079622,swing
0.834452,-2.737903,0.103121,0.078695,swing
0.834453,-2.746933,0.103827,0.077760,swing
0.834454,-2.755966,0.104525,0.076820,swing
0.834455,-2.765001,0.105215,0.075872,swing
0.834456,-2.774040,0.105897,0.074918,swing
0.834457,-2.783081,0.106570,0.073958,swing
0.834458,-2.792124,0.107234,0.072991,swing
0.834459,-2.801170,0.107890,0.072018,swing
0.834460,-2.810218,0.108537,0.071039,swing
0.834461,-2.819269,0.109176,0.070054,swing
0.834462,-2.828322,0.109805,0.069063,swing
0.834463,-2.837377,0.110426,0.068066,swing
0.834464,-2.846434,0.111038,0.067063,swing
0.834465,-2.855494,0.111641,0.066054,swing
0.834466,-2.864555,0.112235,0.065040,swing
0.834467,-2.873619,0.112820,0.064020,swing
0.834468,-2.882684,0.113396,0.062995,swing
0.834469,-2.891751,0.113962,0.061964,swing
0.834470,-2.900820,0.114519,0.060929,swing
0.834471,-2.909891,0.115067,0.059887,swing
0.834472,-2.918963,0.115606,0.058841,swing
0.834473,-2.928037,0.116135,0.057790,swing
0.834474,-2.937113,0.116655,0.056734,swing
0.834475,-2.946190,0.117165,0.055672,swing
0.834476,-2.955268,0.117665,0.054607,swing
0.834477,-2.964348,0.118156,0.053536,swing
0.834478,-2.973429,0.118638,0.052461,swing
0.834479,-2.982511,0.119109,0.051382,swing
0.834480,-2.991594,0.119571,0.050298,swing
0.834481,-3.000678,0.120023,0.049210,swing
0.834482,-3.009763,0.120465,0.048117,swing
0.834483,-3.018850,0.120897,0.047021,swing
0.834484,-3.027937,0.121319,0.045920,swing
0.834485,-3.037025,0.121732,0.044816,swing
0.834486,-3.046113,0.122134,0.043708,swing
