theta,beta,x,y,phase
0.834304,-1.405328,-0.052123,0.118780,swing
0.831623,-1.405329,-0.051845,0.118795,swing
0.828941,-1.405332,-0.051567,0.118811,swing
0.826260,-1.405342,-0.051287,0.118826,swing
0.823579,-1.405362,-0.051007,0.118841,swing
0.820897,-1.405394,-0.050726,0.118857,swing
0.818216,-1.405442,-0.050442,0.118873,swing
0.815535,-1.405508,-0.050157,0.118889,swing
0.812854,-1.405596,-0.049869,0.118906,swing
0.810172,-1.405707,-0.049578,0.118923,swing
0.807491,-1.405847,-0.049284,0.118942,swing
0.804810,-1.406016,-0.048987,0.118961,swing
0.802128,-1.406217,-0.048685,0.118982,swing
0.799447,-1.406454,-0.048380,0.119003,swing
0.796766,-1.406729,-0.048070,0.119026,swing
0.794085,-1.407045,-0.047756,0.119050,swing
0.791403,-1.407404,-0.047436,0.119076,swing
0.788722,-1.407808,-0.047111,0.119103,swing
0.786041,-1.408261,-0.046780,0.119132,swing
0.783359,-1.408764,-0.046443,0.119162,swing
0.780678,-1.409320,-0.046101,0.119194,swing
0.777997,-1.409932,-0.045751,0.119227,swing
0.775316,-1.410601,-0.045395,0.119263,swing
0.772634,-1.411329,-0.045032,0.119300,swing
0.769953,-1.412120,-0.044661,0.119339,swing
0.767272,-1.412975,-0.044283,0.119380,swing
0.764590,-1.413896,-0.043896,0.119423,swing
0.761909,-1.414886,-0.043502,0.119468,swing
0.759228,-1.415946,-0.043100,0.119515,swing
0.756547,-1.417079,-0.042688,0.119563,swing
0.753865,-1.418285,-0.042268,0.119614,swing
0.751184,-1.419568,-0.041839,0.119666,swing
0.748503,-1.420930,-0.041401,0.119721,swing
0.745821,-1.422371,-0.040953,0.119777,swing
0.743140,-1.423894,-0.040495,0.119835,swing
0.740459,-1.425500,-0.040027,0.119894,swing
0.737778,-1.427192,-0.039549,0.119956,swing
0.735096,-1.428970,-0.039061,0.120019,swing
0.732415,-1.430837,-0.038562,0.120084,swing
0.729734,-1.432794,-0.038052,0.120150,swing
0.727052,-1.434843,-0.037531,0.120218,swing
0.724371,-1.436984,-0.036999,0.120287,swing
0.721690,-1.439221,-0.036456,0.120357,swing
0.719009,-1.441553,-0.035901,0.120428,swing
0.716327,-1.443983,-0.035334,0.120501,swing
0.713646,-1.446512,-0.034756,0.120574,swing
0.710965,-1.449140,-0.034165,0.120649,swing
0.708283,-1.451871,-0.033562,0.120724,swing
0.705602,-1.454703,-0.032947,0.120799,swing
0.702921,-1.457640,-0.032319,0.120875,swing
0.700240,-1.460682,-0.031678,0.120951,swing
0.697558,-1.463829,-0.031025,0.121027,swing
0.694877,-1.467084,-0.030358,0.121103,swing
0.692196,-1.470448,-0.029678,0.121179,swing
0.689514,-1.473920,-0.028985,0.121254,swing
0.686833,-1.477503,-0.028279,0.121328,swing
0.684152,-1.481198,-0.027559,0.121402,swing
0.681471,-1.485004,-0.026826,0.121474,swing
0.678789,-1.488924,-0.026079,0.121546,swing
0.676108,-1.492957,-0.025318,0.121615,swing
0.673427,-1.497105,-0.024543,0.121683,swing
0.670745,-1.501369,-0.023754,0.121749,swing
0.668064,-1.505749,-0.022951,0.121812,swing
0.665383,-1.510246,-0.022133,0.121873,swing
0.662702,-1.514861,-0.021302,0.121931,swing
0.660020,-1.519594,-0.020456,0.121986,swing
0.657339,-1.524445,-0.019596,0.122037,swing
0.654658,-1.529417,-0.018722,0.122085,swing
0.651976,-1.534508,-0.017833,0.122129,swing
0.649295,-1.539720,-0.016929,0.122168,swing
0.646614,-1.545053,-0.016011,0.122203,swing
0.643933,-1.550508,-0.015079,0.122233,swing
0.641251,-1.556084,-0.014131,0.122258,swing
0.638570,-1.561783,-0.013170,0.122277,swing
0.635889,-1.567605,-0.012194,0.122290,swing
0.633207,-1.573549,-0.011203,0.122297,swing
0.630526,-1.579617,-0.010198,0.122297,swing
0.627845,-1.585809,-0.009178,0.122291,swing
0.625164,-1.592124,-0.008144,0.122276,swing
0.622482,-1.598563,-0.007096,0.122254,swing
0.619801,-1.605127,-0.006033,0.122224,swing
0.617120,-1.611815,-0.004956,0.122186,swing
0.614438,-1.618627,-0.003865,0.122139,swing
0.611757,-1.625564,-0.002760,0.122082,swing
0.609076,-1.632626,-0.001641,0.122015,swing
0.606395,-1.639812,-0.000508,0.121939,swing
0.603713,-1.647123,0.000639,0.121852,swing
0.601032,-1.654558,0.001799,0.121754,swing
0.598351,-1.662119,0.002973,0.121645,swing
0.595669,-1.669803,0.004160,0.121524,swing
0.592988,-1.677612,0.005360,0.121391,swing
0.590307,-1.685546,0.006573,0.121245,swing
0.587626,-1.693603,0.007799,0.121087,swing
0.584944,-1.701785,0.009037,0.120915,swing
0.582263,-1.710090,0.010288,0.120729,swing
0.579582,-1.718519,0.011551,0.120529,swing
0.576900,-1.727071,0.012826,0.120314,swing
0.574219,-1.735746,0.014112,0.120084,swing
0.571538,-1.744543,0.015409,0.119839,swing
0.568857,-1.753463,0.016718,0.119577,swing
0.566175,-1.762505,0.018037,0.119300,swing
0.563494,-1.771669,0.019367,0.119005,swing
0.560813,-1.780953,0.020707,0.118693,swing
0.558131,-1.790359,0.022057,0.118363,swing
0.555450,-1.799884,0.023416,0.118016,swing
0.552769,-1.809530,0.024785,0.117650,swing
0.550088,-1.819295,0.026162,0.117265,swing
0.547406,-1.829178,0.027547,0.116860,swing
0.544725,-1.839180,0.028940,0.116436,swing
0.542044,-1.849299,0.030341,0.115992,swing
0.539362,-1.859535,0.031749,0.115528,swing
0.536681,-1.869888,0.033164,0.115042,swing
0.534000,-1.880357,0.034584,0.114535,swing
0.531319,-1.890940,0.036011,0.114007,swing
0.528637,-1.901638,0.037443,0.113457,swing
0.525956,-1.912450,0.038879,0.112884,swing
0.523275,-1.923375,0.040320,0.112289,swing
0.520593,-1.934412,0.041764,0.111671,swing
0.517912,-1.945561,0.043212,0.111029,swing
0.515231,-1.956820,0.044662,0.110364,swing
0.512550,-1.968189,0.046115,0.109675,swing
0.509868,-1.979668,0.047569,0.108961,swing
0.507187,-1.991254,0.049024,0.108223,swing
0.504506,-2.002948,0.050479,0.107460,swing
0.501824,-2.014749,0.051934,0.106673,swing
0.499143,-2.026655,0.053388,0.105860,swing
0.496462,-2.038666,0.054840,0.105021,swing
0.493781,-2.050780,0.056291,0.104157,swing
0.491099,-2.062997,0.057739,0.103267,swing
0.488418,-2.075316,0.059183,0.102351,swing
0.485737,-2.087736,0.060623,0.101408,swing
0.483055,-2.100256,0.062059,0.100440,swing
0.480374,-2.112874,0.063489,0.099444,swing
0.477693,-2.125591,0.064913,0.098422,swing
0.475012,-2.138404,0.066330,0.097374,swing
0.472330,-2.151312,0.067739,0.096298,swing
0.469649,-2.164315,0.069141,0.095196,swing
0.466968,-2.177412,0.070533,0.094066,swing
0.464286,-2.190601,0.071916,0.092910,swing
0.461605,-2.203881,0.073288,0.091727,swing
0.458924,-2.217251,0.074649,0.090517,swing
0.456243,-2.230709,0.075998,0.089280,swing
0.453561,-2.244256,0.077335,0.088016,swing
0.450880,-2.257889,0.078658,0.086726,swing
0.448199,-2.271607,0.079967,0.085409,swing
0.445517,-2.285409,0.081262,0.084065,swing
0.442836,-2.299294,0.082541,0.082695,swing
0.440155,-2.313261,0.083803,0.081299,swing
0.437474,-2.327308,0.085049,0.079876,swing
0.434792,-2.341433,0.086276,0.078428,swing
0.432111,-2.355637,0.087486,0.076955,swing
0.429430,-2.369917,0.088675,0.075456,swing
0.426748,-2.384272,0.089845,0.073932,swing
0.424067,-2.398701,0.090995,0.072383,swing
0.421386,-2.413202,0.092123,0.070809,swing
0.418705,-2.427774,0.093228,0.069212,swing
0.416023,-2.442417,0.094311,0.067591,swing
0.413342,-2.457127,0.095370,0.065946,swing
0.410661,-2.471904,0.096405,0.064279,swing
0.407979,-2.486747,0.097415,0.062589,swing
0.405298,-2.501654,0.098400,0.060877,swing
0.402617,-2.516624,0.099358,0.059143,swing
0.399935,-2.531656,0.100290,0.057388,swing
0.397254,-2.546747,0.101194,0.055613,swing
0.394573,-2.561896,0.102069,0.053817,swing
0.391892,-2.577103,0.102916,0.052002,swing
0.389210,-2.592365,0.103734,0.050168,swing
0.386529,-2.607681,0.104521,0.048316,swing
0.383848,-2.623050,0.105278,0.046446,swing
0.381166,-2.638470,0.106004,0.044559,swing
0.378485,-2.653940,0.106699,0.042655,swing
0.375804,-2.669458,0.107361,0.040735,swing
0.373123,-2.685022,0.107991,0.038801,swing
0.370441,-2.700632,0.108587,0.036851,swing
0.367760,-2.716285,0.109150,0.034889,swing
0.365079,-2.731980,0.109679,0.032913,swing
0.362397,-2.747715,0.110174,0.030925,swing
0.359716,-2.763490,0.110633,0.028925,swing
0.357035,-2.779302,0.111058,0.026915,swing
0.354354,-2.795150,0.111447,0.024894,swing
0.351672,-2.811033,0.111800,0.022865,swing
0.348991,-2.826948,0.112117,0.020827,swing
0.346310,-2.842894,0.112397,0.018782,swing
0.343628,-2.858870,0.112641,0.016730,swing
0.340947,-2.874874,0.112848,0.014672,swing
0.338266,-2.890905,0.113017,0.012609,swing
0.335585,-2.906960,0.113150,0.010542,swing
0.332903,-2.923039,0.113244,0.008472,swing
0.330222,-2.939139,0.113301,0.006399,swing
0.327541,-2.955260,0.113321,0.004325,swing
0.324859,-2.971399,0.113302,0.002250,swing
0.322178,-2.987555,0.113246,0.000175,swing
0.319497,-3.003726,0.113151,-0.001899,swing
0.316816,-3.019911,0.113019,-0.003971,swing
0.314134,-3.036108,0.112848,-0.006040,swing
0.311453,-3.052315,0.112640,-0.008105,swing
0.308772,-3.068532,0.112394,-0.010166,swing
0.306090,-3.084756,0.112110,-0.012222,swing
0.303409,-3.100985,0.111789,-0.014271,swing
0.300728,-3.117218,0.111430,-0.016312,swing
0.298047,-3.133454,0.111034,-0.018346,swing
0.298048,-3.149691,0.110721,-0.020146,swing
0.300731,-3.165927,0.110504,-0.021718,swing
0.303414,-3.182160,0.110264,-0.023288,swing
0.306097,-3.198389,0.110002,-0.024854,swing
0.308780,-3.214613,0.109717,-0.026418,swing
0.311464,-3.230830,0.109411,-0.027977,swing
0.314147,-3.247037,0.109083,-0.029532,swing
0.316830,-3.263234,0.108733,-0.031082,swing
0.319513,-3.279419,0.108362,-0.032627,swing
0.322196,-3.295591,0.107969,-0.034167,swing
0.324880,-3.311746,0.107555,-0.035700,swing
0.327563,-3.327885,0.107120,-0.037226,swing
0.330246,-3.344006,0.106664,-0.038746,swing
0.332929,-3.360106,0.106187,-0.040257,swing
0.335612,-3.376185,0.105689,-0.041761,swing
0.338296,-3.392241,0.105171,-0.043256,swing
0.340979,-3.408271,0.104634,-0.044743,swing
0.343662,-3.424275,0.104076,-0.046220,swing
0.346345,-3.440251,0.103499,-0.047687,swing
0.349029,-3.456197,0.102903,-0.049144,swing
0.351712,-3.472112,0.102288,-0.050591,swing
0.354395,-3.487995,0.101654,-0.052027,swing
0.357078,-3.503843,0.101002,-0.053452,swing
0.359761,-3.519655,0.100332,-0.054864,swing
0.362445,-3.535430,0.099645,-0.056265,swing
0.365128,-3.551165,0.098940,-0.057654,swing
0.367811,-3.566860,0.098218,-0.059030,swing
0.370494,-3.582514,0.097480,-0.060393,swing
0.373177,-3.598123,0.096725,-0.061742,swing
0.375861,-3.613687,0.095955,-0.063078,swing
0.378544,-3.629205,0.095169,-0.064400,swing
0.381227,-3.644675,0.094368,-0.065708,swing
0.383910,-3.660095,0.093552,-0.067001,swing
0.386593,-3.675464,0.092723,-0.068279,swing
0.389277,-3.690780,0.091879,-0.069543,swing
0.391960,-3.706042,0.091022,-0.070791,swing
0.394643,-3.721249,0.090152,-0.072024,swing
