theta,beta,x,y,phase
1.310850,-1.107488,-0.134867,0.068731,swing
1.305779,-1.107489,-0.134728,0.068627,swing
1.300709,-1.107493,-0.134587,0.068523,swing
1.295638,-1.107505,-0.134444,0.068420,swing
1.290567,-1.107528,-0.134299,0.068318,swing
1.285496,-1.107566,-0.134152,0.068218,swing
1.280426,-1.107622,-0.134002,0.068120,swing
1.275355,-1.107701,-0.133850,0.068024,swing
1.270284,-1.107804,-0.133696,0.067930,swing
1.265213,-1.107936,-0.133539,0.067840,swing
1.260143,-1.108100,-0.133379,0.067753,swing
1.255072,-1.108300,-0.133216,0.067669,swing
1.250001,-1.108538,-0.133050,0.067590,swing
1.244931,-1.108817,-0.132881,0.067515,swing
1.239860,-1.109142,-0.132708,0.067444,swing
1.234789,-1.109515,-0.132533,0.067378,swing
1.229718,-1.109938,-0.132353,0.067317,swing
1.224648,-1.110415,-0.132170,0.067262,swing
1.219577,-1.110949,-0.131984,0.067212,swing
1.214506,-1.111543,-0.131794,0.067168,swing
1.209436,-1.112199,-0.131599,0.067131,swing
1.204365,-1.112921,-0.131401,0.067099,swing
1.199294,-1.113710,-0.131199,0.067074,swing
1.194223,-1.114570,-0.130992,0.067056,swing
1.189153,-1.115503,-0.130781,0.067045,swing
1.184082,-1.116512,-0.130566,0.067041,swing
1.179011,-1.117599,-0.130346,0.067045,swing
1.173941,-1.118766,-0.130121,0.067056,swing
1.168870,-1.120017,-0.129892,0.067074,swing
1.163799,-1.121353,-0.129658,0.067101,swing
1.158728,-1.122777,-0.129420,0.067136,swing
1.153658,-1.124291,-0.129176,0.067179,swing
1.148587,-1.125897,-0.128927,0.067230,swing
1.143516,-1.127597,-0.128673,0.067290,swing
1.138445,-1.129393,-0.128414,0.067358,swing
1.133375,-1.131288,-0.128149,0.067435,swing
1.128304,-1.133284,-0.127879,0.067521,swing
1.123233,-1.135382,-0.127604,0.067616,swing
1.118163,-1.137584,-0.127323,0.067720,swing
1.113092,-1.139893,-0.127036,0.067833,swing
1.108021,-1.142310,-0.126743,0.067955,swing
1.102950,-1.144836,-0.126444,0.068086,swing
1.097880,-1.147474,-0.126139,0.068227,swing
1.092809,-1.150225,-0.125829,0.068377,swing
1.087738,-1.153092,-0.125511,0.068537,swing
1.082668,-1.156074,-0.125188,0.068706,swing
1.077597,-1.159175,-0.124858,0.068884,swing
1.072526,-1.162395,-0.124522,0.069072,swing
1.067455,-1.165736,-0.124179,0.069270,swing
1.062385,-1.169200,-0.123829,0.069477,swing
1.057314,-1.172788,-0.123472,0.069694,swing
1.052243,-1.176500,-0.123109,0.069920,swing
1.047173,-1.180339,-0.122738,0.070156,swing
1.042102,-1.184306,-0.122360,0.070401,swing
1.037031,-1.188401,-0.121975,0.070656,swing
1.031960,-1.192627,-0.121583,0.070921,swing
1.026890,-1.196984,-0.121183,0.071195,swing
1.021819,-1.201473,-0.120775,0.071479,swing
1.016748,-1.206095,-0.120359,0.071771,swing
1.011677,-1.210852,-0.119936,0.072074,swing
1.006607,-1.215743,-0.119505,0.072385,swing
1.001536,-1.220771,-0.119065,0.072706,swing
0.996465,-1.225936,-0.118618,0.073036,swing
0.991395,-1.231239,-0.118161,0.073375,swing
0.986324,-1.236680,-0.117697,0.073723,swing
0.981253,-1.242261,-0.117224,0.074080,swing
0.976182,-1.247982,-0.116742,0.074446,swing
0.971112,-1.253844,-0.116251,0.074821,swing
0.966041,-1.259847,-0.115751,0.075204,swing
0.960970,-1.265993,-0.115242,0.075596,swing
0.955900,-1.272281,-0.114724,0.075996,swing
0.950829,-1.278712,-0.114196,0.076405,swing
0.945758,-1.285286,-0.113659,0.076822,swing
0.940687,-1.292005,-0.113112,0.077247,swing
0.935617,-1.298869,-0.112555,0.077680,swing
0.930546,-1.305877,-0.111988,0.078121,swing
0.925475,-1.313030,-0.111412,0.078570,swing
0.920405,-1.320329,-0.110824,0.079026,swing
0.915334,-1.327774,-0.110227,0.079489,swing
0.910263,-1.335365,-0.109618,0.079960,swing
0.905192,-1.343103,-0.108999,0.080439,swing
0.900122,-1.350986,-0.108369,0.080924,swing
0.895051,-1.359016,-0.107728,0.081416,swing
0.889980,-1.367193,-0.107076,0.081914,swing
0.884909,-1.375517,-0.106413,0.082419,swing
0.879839,-1.383988,-0.105737,0.082931,swing
0.874768,-1.392605,-0.105050,0.083449,swing
0.869697,-1.401369,-0.104352,0.083973,swing
0.864627,-1.410279,-0.103641,0.084502,swing
0.859556,-1.419337,-0.102918,0.085038,swing
0.854485,-1.428540,-0.102182,0.085578,swing
0.849414,-1.437890,-0.101434,0.086125,swing
0.844344,-1.447387,-0.100673,0.086676,swing
0.839273,-1.457029,-0.099899,0.087232,swing
0.834202,-1.466816,-0.099112,0.087793,swing
0.829132,-1.476749,-0.098312,0.088358,swing
0.824061,-1.486827,-0.097498,0.088928,swing
0.818990,-1.497050,-0.096670,0.089502,swing
0.813919,-1.507417,-0.095828,0.090080,swing
0.808849,-1.517928,-0.094972,0.090661,swing
0.803778,-1.528582,-0.094102,0.091246,swing
0.798707,-1.539380,-0.093217,0.091835,swing
0.793637,-1.550320,-0.092317,0.092426,swing
0.788566,-1.561402,-0.091403,0.093020,swing
0.783495,-1.572625,-0.090473,0.093616,swing
0.778424,-1.583989,-0.089528,0.094215,swing
0.773354,-1.595494,-0.088566,0.094816,swing
0.768283,-1.607138,-0.087590,0.095419,swing
0.763212,-1.618921,-0.086596,0.096023,swing
0.758141,-1.630843,-0.085587,0.096628,swing
0.753071,-1.642902,-0.084561,0.097234,swing
0.748000,-1.655098,-0.083518,0.097841,swing
0.742929,-1.667430,-0.082458,0.098449,swing
0.737859,-1.679897,-0.081381,0.099056,swing
0.732788,-1.692499,-0.080286,0.099663,swing
0.727717,-1.705234,-0.079173,0.100269,swing
0.722646,-1.718103,-0.078042,0.100874,swing
0.717576,-1.731103,-0.076893,0.101478,swing
0.712505,-1.744234,-0.075725,0.102080,swing
0.707434,-1.757495,-0.074539,0.102680,swing
0.702364,-1.770886,-0.073333,0.103278,swing
0.697293,-1.784404,-0.072109,0.103873,swing
0.692222,-1.798050,-0.070864,0.104464,swing
0.687151,-1.811822,-0.069601,0.105051,swing
0.682081,-1.825719,-0.068317,0.105634,swing
0.677010,-1.839740,-0.067013,0.106213,swing
0.671939,-1.853883,-0.065688,0.106786,swing
0.666869,-1.868149,-0.064343,0.107353,swing
0.661798,-1.882535,-0.062978,0.107914,swing
0.656727,-1.897041,-0.061591,0.108469,swing
0.651656,-1.911665,-0.060184,0.109015,swing
0.646586,-1.926406,-0.058755,0.109554,swing
0.641515,-1.941263,-0.057305,0.110084,swing
0.636444,-1.956235,-0.055833,0.110605,swing
0.631373,-1.971320,-0.054340,0.111116,swing
0.626303,-1.986517,-0.052825,0.111616,swing
0.621232,-2.001826,-0.051289,0.112105,swing
0.616161,-2.017243,-0.049731,0.112582,swing
0.611091,-2.032769,-0.048151,0.113046,swing
0.606020,-2.048402,-0.046550,0.113497,swing
0.600949,-2.064140,-0.044738,0.114014,swing
0.595878,-2.079983,-0.042545,0.114657,swing
0.590808,-2.095928,-0.040331,0.115262,swing
0.585737,-2.111974,-0.038097,0.115829,swing
0.580666,-2.128120,-0.035845,0.116357,swing
0.575596,-2.144365,-0.033575,0.116845,swing
0.570525,-2.160707,-0.031288,0.117293,swing
0.565454,-2.177144,-0.028985,0.117699,swing
0.560383,-2.193675,-0.026666,0.118064,swing
0.555313,-2.210298,-0.024333,0.118386,swing
0.550242,-2.227012,-0.021987,0.118664,swing
0.545171,-2.243816,-0.019628,0.118899,swing
0.540101,-2.260708,-0.017258,0.119089,swing
0.535030,-2.277686,-0.014878,0.119233,swing
0.529959,-2.294748,-0.012488,0.119332,swing
0.524888,-2.311894,-0.010090,0.119384,swing
0.519818,-2.329121,-0.007686,0.119389,swing
0.514747,-2.346428,-0.005275,0.119347,swing
0.509676,-2.363813,-0.002860,0.119257,swing
0.504605,-2.381275,-0.000441,0.119119,swing
0.499535,-2.398811,0.001980,0.118933,swing
0.494464,-2.416421,0.004402,0.118697,swing
0.489393,-2.434102,0.006825,0.118412,swing
0.484323,-2.451853,0.009245,0.118078,swing
0.479252,-2.469673,0.011664,0.117694,swing
0.474181,-2.487558,0.014078,0.117260,swing
0.469110,-2.505509,0.016487,0.116776,swing
0.464040,-2.523522,0.018889,0.116242,swing
0.458969,-2.541597,0.021284,0.115658,swing
0.453898,-2.559731,0.023670,0.115023,swing
0.448828,-2.577923,0.026045,0.114339,swing
0.443757,-2.596170,0.028409,0.113604,swing
0.438686,-2.614472,0.030760,0.112820,swing
0.433615,-2.632826,0.033096,0.111985,swing
0.428545,-2.651231,0.035416,0.111101,swing
0.423474,-2.669684,0.037720,0.110167,swing
0.418403,-2.688185,0.040005,0.109185,swing
0.413333,-2.706730,0.042271,0.108153,swing
0.408262,-2.725319,0.044516,0.107073,swing
0.403191,-2.743949,0.046738,0.105945,swing
0.398120,-2.762619,0.048937,0.104770,swing
0.393050,-2.781326,0.051112,0.103547,swing
0.387979,-2.800070,0.053260,0.102278,swing
0.382908,-2.818847,0.055381,0.100963,swing
0.377837,-2.837657,0.057474,0.099603,swing
0.372767,-2.856497,0.059536,0.098198,swing
0.367696,-2.875365,0.061568,0.096749,swing
0.362625,-2.894260,0.063568,0.095256,swing
0.357555,-2.913180,0.065535,0.093722,swing
0.352484,-2.932122,0.067468,0.092145,swing
0.347413,-2.951085,0.069365,0.090528,swing
0.342342,-2.970068,0.071226,0.088871,swing
0.337272,-2.989067,0.073049,0.087175,swing
0.332201,-3.008082,0.074834,0.085441,swing
0.327130,-3.027110,0.076579,0.083670,swing
0.322060,-3.046150,0.078283,0.081863,swing
0.316989,-3.065199,0.079947,0.080021,swing
0.311918,-3.084255,0.081568,0.078145,swing
0.306847,-3.103318,0.083146,0.076237,swing
0.301777,-3.122384,0.084680,0.074296,swing
0.296706,-3.141452,0.086170,0.072326,swing
0.301790,-3.160520,0.087451,0.071015,swing
0.306874,-3.179586,0.088713,0.069682,swing
0.311958,-3.198649,0.089954,0.068327,swing
0.317042,-3.217705,0.091175,0.066951,swing
0.322126,-3.236754,0.092374,0.065554,swing
0.327210,-3.255794,0.093552,0.064137,swing
0.332293,-3.274822,0.094707,0.062701,swing
0.337377,-3.293837,0.095840,0.061245,swing
0.342461,-3.312836,0.096951,0.059771,swing
0.347545,-3.331819,0.098037,0.058279,swing
0.352629,-3.350782,0.099101,0.056769,swing
0.357713,-3.369724,0.100140,0.055243,swing
0.362797,-3.388644,0.101155,0.053700,swing
0.367881,-3.407539,0.102145,0.052142,swing
0.372965,-3.426407,0.103110,0.050568,swing
0.378049,-3.445247,0.104050,0.048980,swing
0.383133,-3.464057,0.104964,0.047379,swing
0.388217,-3.482834,0.105853,0.045764,swing
0.393301,-3.501578,0.106716,0.044136,swing
0.398385,-3.520285,0.107552,0.042497,swing
0.403469,-3.538955,0.108363,0.040846,swing
0.408552,-3.557585,0.109147,0.039185,swing
0.413636,-3.576174,0.109904,0.037514,swing
