theta_deg,L_m
17.0,0.145000
18.0,0.146523
19.0,0.148067
20.0,0.149631
21.0,0.151215
22.0,0.152816
23.0,0.154434
24.0,0.156067
25.0,0.157716
26.0,0.159378
27.0,0.161053
28.0,0.162740
29.0,0.164438
30.0,0.166147
31.0,0.167864
32.0,0.169591
33.0,0.171325
34.0,0.173067
35.0,0.174815
36.0,0.176569
37.0,0.178329
38.0,0.180093
39.0,0.181862
40.0,0.183635
41.0,0.185411
42.0,0.187190
43.0,0.188972
44.0,0.190757
45.0,0.192543
46.0,0.194331
47.0,0.196120
48.0,0.197911
49.0,0.199703
50.0,0.201496
51.0,0.203289
52.0,0.205083
53.0,0.206877
54.0,0.208672
55.0,0.210467
56.0,0.212263
57.0,0.214059
58.0,0.215855
59.0,0.217652
60.0,0.219449
61.0,0.221246
62.0,0.223044
63.0,0.224843
64.0,0.226642
65.0,0.228443
66.0,0.230244
67.0,0.232047
68.0,0.233851
69.0,0.235656
70.0,0.237464
71.0,0.239273
72.0,0.241084
73.0,0.242897
74.0,0.244713
75.0,0.246531
76.0,0.248352
77.0,0.250176
78.0,0.252003
79.0,0.253833
80.0,0.255666
81.0,0.257503
82.0,0.259344
83.0,0.261188
84.0,0.263036
85.0,0.264888
86.0,0.266744
87.0,0.268604
88.0,0.270468
89.0,0.272336
90.0,0.274208
91.0,0.276083
92.0,0.277963
93.0,0.279846
94.0,0.281733
95.0,0.283623
96.0,0.285516
97.0,0.287412
98.0,0.289310
99.0,0.291212
100.0,0.293115
101.0,0.295020
102.0,0.296926
103.0,0.298833
104.0,0.300741
105.0,0.302649
106.0,0.304557
107.0,0.306463
108.0,0.308369
109.0,0.310272
110.0,0.312173
111.0,0.314071
112.0,0.315964
113.0,0.317854
114.0,0.319739
115.0,0.321617
116.0,0.323490
117.0,0.325355
118.0,0.327213
119.0,0.329062
120.0,0.330901
121.0,0.332731
122.0,0.334549
123.0,0.336357
124.0,0.338151
125.0,0.339933
126.0,0.341701
127.0,0.343453
128.0,0.345191
129.0,0.346912
130.0,0.348616
131.0,0.350301
132.0,0.351969
133.0,0.353616
134.0,0.355243
135.0,0.356850
136.0,0.358434
137.0,0.359995
138.0,0.361533
139.0,0.363047
140.0,0.364536
