t,theta,beta,gamma,in_stance
0.000000,1.745329,0.318523,0.000000,1
0.001000,1.736741,0.312754,0.000000,1
0.001999,1.728132,0.306956,0.000000,1
0.002999,1.719515,0.301129,0.000000,1
0.003999,1.710899,0.295270,0.000000,1
0.004998,1.702298,0.289378,0.000000,1
0.005998,1.693723,0.283453,0.000000,1
0.006998,1.685184,0.277492,0.000000,1
0.007997,1.676692,0.271496,0.000000,1
0.008997,1.668258,0.265463,0.000000,1
0.009997,1.659892,0.259393,0.000000,1
0.010996,1.651605,0.253286,0.000000,1
0.011996,1.643407,0.247140,0.000000,1
0.012996,1.635307,0.240956,0.000000,1
0.013995,1.627314,0.234733,0.000000,1
0.014995,1.619440,0.228472,0.000000,1
0.015994,1.611691,0.222172,0.000000,1
0.016994,1.604078,0.215834,0.000000,1
0.017994,1.596610,0.209457,0.000000,1
0.018993,1.589294,0.203042,0.000000,1
0.019993,1.582139,0.196589,0.000000,1
0.020993,1.575152,0.190099,0.000000,1
0.021992,1.568343,0.183573,0.000000,1
0.022992,1.561718,0.177010,0.000000,1
0.023992,1.555285,0.170412,0.000000,1
0.024991,1.549051,0.163780,0.000000,1
0.025991,1.543023,0.157114,0.000000,1
0.026991,1.537207,0.150415,0.000000,1
0.027990,1.531609,0.143684,0.000000,1
0.028990,1.526236,0.136922,0.000000,1
0.029990,1.521094,0.130131,0.000000,1
0.030989,1.516187,0.123312,0.000000,1
0.031989,1.511522,0.116465,0.000000,1
0.032989,1.507103,0.109592,0.000000,1
0.033988,1.502935,0.102694,0.000000,1
0.034988,1.499023,0.095774,0.000000,1
0.035988,1.495370,0.088831,0.000000,1
0.036987,1.491980,0.081868,0.000000,1
0.037987,1.488858,0.074886,0.000000,1
0.038987,1.486006,0.067886,0.000000,1
0.039986,1.483427,0.060871,0.000000,1
0.040986,1.481124,0.053841,0.000000,1
0.041985,1.479099,0.046799,0.000000,1
0.042985,1.477355,0.039745,0.000000,1
0.043985,1.475893,0.032682,0.000000,1
0.044984,1.474715,0.025611,0.000000,1
0.045984,1.473822,0.018534,0.000000,1
0.046984,1.473215,0.011453,0.000000,1
0.047983,1.472894,0.004369,0.000000,1
0.048983,1.472861,-0.002716,0.000000,1
0.049983,1.473114,-0.009800,0.000000,1
0.050982,1.473654,-0.016882,0.000000,1
0.051982,1.474481,-0.023960,0.000000,1
0.052982,1.475592,-0.031033,0.000000,1
0.053981,1.476988,-0.038098,0.000000,1
0.054981,1.478667,-0.045154,0.000000,1
0.055981,1.480626,-0.052199,0.000000,1
0.056980,1.482864,-0.059232,0.000000,1
0.057980,1.485379,-0.066250,0.000000,1
0.058980,1.488168,-0.073254,0.000000,1
0.059979,1.491228,-0.080240,0.000000,1
0.060979,1.494555,-0.087208,0.000000,1
0.061979,1.498147,-0.094155,0.000000,1
0.062978,1.501999,-0.101081,0.000000,1
0.063978,1.506108,-0.107984,0.000000,1
0.064978,1.510469,-0.114863,0.000000,1
0.065977,1.515077,-0.121716,0.000000,1
0.066977,1.519927,-0.128542,0.000000,1
0.067977,1.525015,-0.135340,0.000000,1
0.068976,1.530335,-0.142109,0.000000,1
0.069976,1.535881,-0.148847,0.000000,1
0.070975,1.541646,-0.155553,0.000000,1
0.071975,1.547626,-0.162227,0.000000,1
0.072975,1.553813,-0.168868,0.000000,1
0.073974,1.560200,-0.175474,0.000000,1
0.074974,1.566781,-0.182045,0.000000,1
