t,theta,beta,gamma,in_stance
0.000000,1.745329,-0.161443,0.000000,1
0.001001,1.737511,-0.158815,0.000000,1
0.002002,1.729624,-0.156176,0.000000,1
0.003003,1.721679,-0.153526,0.000000,1
0.004004,1.713690,-0.150863,0.000000,1
0.005004,1.705666,-0.148188,0.000000,1
0.006005,1.697620,-0.145498,0.000000,1
0.007006,1.689561,-0.142794,0.000000,1
0.008007,1.681501,-0.140076,0.000000,1
0.009008,1.673450,-0.137342,0.000000,1
0.010009,1.665419,-0.134592,0.000000,1
0.011010,1.657418,-0.131826,0.000000,1
0.012011,1.649456,-0.129043,0.000000,1
0.013011,1.641544,-0.126244,0.000000,1
0.014012,1.633691,-0.123427,0.000000,1
0.015013,1.625906,-0.120593,0.000000,1
0.016014,1.618199,-0.117742,0.000000,1
0.017015,1.610578,-0.114873,0.000000,1
0.018016,1.603054,-0.111987,0.000000,1
0.019017,1.595633,-0.109083,0.000000,1
0.020018,1.588325,-0.106162,0.000000,1
0.021018,1.581138,-0.103223,0.000000,1
0.022019,1.574080,-0.100267,0.000000,1
0.023020,1.567159,-0.097293,0.000000,1
0.024021,1.560382,-0.094302,0.000000,1
0.025022,1.553758,-0.091295,0.000000,1
0.026023,1.547292,-0.088271,0.000000,1
0.027024,1.540992,-0.085230,0.000000,1
0.028025,1.534866,-0.082174,0.000000,1
0.029026,1.528919,-0.079101,0.000000,1
0.030026,1.523158,-0.076014,0.000000,1
0.031027,1.517588,-0.072912,0.000000,1
0.032028,1.512217,-0.069795,0.000000,1
0.033029,1.507049,-0.066664,0.000000,1
0.034030,1.502090,-0.063520,0.000000,1
0.035031,1.497346,-0.060362,0.000000,1
0.036032,1.492820,-0.057192,0.000000,1
0.037033,1.488518,-0.054010,0.000000,1
0.038033,1.484444,-0.050817,0.000000,1
0.039034,1.480602,-0.047613,0.000000,1
0.040035,1.476997,-0.044399,0.000000,1
0.041036,1.473632,-0.041175,0.000000,1
0.042037,1.470510,-0.037942,0.000000,1
0.043038,1.467635,-0.034701,0.000000,1
0.044039,1.465009,-0.031453,0.000000,1
0.045040,1.462636,-0.028197,0.000000,1
0.046040,1.460517,-0.024935,0.000000,1
0.047041,1.458655,-0.021668,0.000000,1
0.048042,1.457051,-0.018396,0.000000,1
0.049043,1.455707,-0.015120,0.000000,1
0.050044,1.454625,-0.011840,0.000000,1
0.051045,1.453806,-0.008558,0.000000,1
0.052046,1.453250,-0.005273,0.000000,1
0.053047,1.452958,-0.001988,0.000000,1
0.054048,1.452930,0.001298,0.000000,1
0.055048,1.453166,0.004583,0.000000,1
0.056049,1.453667,0.007868,0.000000,1
0.057050,1.454431,0.011151,0.000000,1
0.058051,1.455458,0.014431,0.000000,1
0.059052,1.456747,0.017708,0.000000,1
0.060053,1.458296,0.020981,0.000000,1
0.061054,1.460104,0.024249,0.000000,1
0.062055,1.462170,0.027512,0.000000,1
0.063055,1.464490,0.030769,0.000000,1
0.064056,1.467063,0.034019,0.000000,1
0.065057,1.469886,0.037262,0.000000,1
0.066058,1.472956,0.040497,0.000000,1
0.067059,1.476270,0.043722,0.000000,1
0.068060,1.479825,0.046939,0.000000,1
0.069061,1.483618,0.050145,0.000000,1
0.070062,1.487643,0.053340,0.000000,1
0.071062,1.491897,0.056525,0.000000,1
0.072063,1.496377,0.059697,0.000000,1
0.073064,1.501076,0.062857,0.000000,1
0.074065,1.505990,0.066005,0.000000,1
0.075066,1.511114,0.069138,0.000000,1
0.076067,1.516443,0.072258,0.000000,1
0.077068,1.521972,0.075364,0.000000,1
0.078069,1.527693,0.078454,0.000000,1
0.079070,1.533601,0.081530,0.000000,1
0.080070,1.539691,0.084589,0.000000,1
0.081071,1.545955,0.087633,0.000000,1
0.082072,1.552386,0.090661,0.000000,1
0.083073,1.558978,0.093672,0.000000,1
0.084074,1.565723,0.096666,0.000000,1
0.085075,1.572615,0.099643,0.000000,1
0.086076,1.579645,0.102603,0.000000,1
0.087077,1.586805,0.105546,0.000000,1
0.088077,1.594088,0.108471,0.000000,1
0.089078,1.601486,0.111379,0.000000,1
0.090079,1.608990,0.114269,0.000000,1
0.091080,1.616591,0.117141,0.000000,1
0.092081,1.624280,0.119996,0.000000,1
0.093082,1.632049,0.122833,0.000000,1
0.094083,1.639889,0.125654,0.000000,1
0.095084,1.647790,0.128457,0.000000,1
0.096084,1.655742,0.131243,0.000000,1
0.097085,1.663736,0.134012,0.000000,1
0.098086,1.671761,0.136765,0.000000,1
0.099087,1.679809,0.139503,0.000000,1
0.100088,1.687868,0.142225,0.000000,1
0.101089,1.695928,0.144932,0.000000,1
0.102090,1.703978,0.147624,0.000000,1
0.103091,1.712007,0.150302,0.000000,1
0.104092,1.720005,0.152968,0.000000,1
0.105092,1.727959,0.155621,0.000000,1
0.106093,1.735859,0.158262,0.000000,1
0.107094,1.743693,0.160892,0.000000,1
0.108095,1.745329,0.161421,0.000000,0
0.109096,1.745329,0.161332,0.000000,0
0.110097,1.745329,0.161174,0.000000,0
0.111098,1.745329,0.160946,0.000000,0
0.112099,1.745329,0.160650,0.000000,0
0.113099,1.745329,0.160284,0.000000,0
0.114100,1.745329,0.159849,0.000000,0
0.115101,1.745329,0.159344,0.000000,0
0.116102,1.745329,0.158771,0.000000,0
0.117103,1.745329,0.158128,0.000000,0
0.118104,1.745329,0.157417,0.000000,0
0.119105,1.745329,0.156636,0.000000,0
0.120106,1.745329,0.155786,0.000000,0
0.121106,1.745329,0.154867,0.000000,0
0.122107,1.745329,0.153878,0.000000,0
0.123108,1.745329,0.152821,0.000000,0
0.124109,1.745329,0.151694,0.000000,0
0.125110,1.745329,0.150498,0.000000,0
0.126111,1.745329,0.149233,0.000000,0
0.127112,1.745329,0.147899,0.000000,0
0.128113,1.745329,0.146496,0.000000,0
0.129114,1.745329,0.145023,0.000000,0
0.130114,1.745329,0.143481,0.000000,0
0.131115,1.745329,0.141870,0.000000,0
0.132116,1.745329,0.140190,0.000000,0
0.133117,1.745329,0.138441,0.000000,0
0.134118,1.745329,0.136623,0.000000,0
0.135119,1.745329,0.134735,0.000000,0
0.136120,1.745329,0.132779,0.000000,0
0.137121,1.745329,0.130753,0.000000,0
0.138121,1.745329,0.128658,0.000000,0
0.139122,1.745329,0.126494,0.000000,0
0.140123,1.745329,0.124260,0.000000,0
0.141124,1.745329,0.121958,0.000000,0
0.142125,1.745329,0.119586,0.000000,0
0.143126,1.745329,0.117145,0.000000,0
0.144127,1.745329,0.114635,0.000000,0
0.145128,1.745329,0.112056,0.000000,0
0.146128,1.745329,0.109408,0.000000,0
0.147129,1.745329,0.106694,0.000000,0
0.148130,1.745329,0.103966,0.000000,0
0.149131,1.745329,0.101237,0.000000,0
0.150132,1.745329,0.098509,0.000000,0
0.151133,1.745329,0.095781,0.000000,0
0.152134,1.745329,0.093052,0.000000,0
0.153135,1.745329,0.090324,0.000000,0
