C.x,C.y,C.z,v.x,v.y,v.z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_orien_w,imu_orien_x,imu_orien_y,imu_orien_z,state_theta_a,state_beta_a,state_theta_b,state_beta_b_original_define,state_beta_b,state_theta_c,state_beta_c_original_define,state_beta_c,state_theta_d,state_beta_d
-1.00199,2.00598,0.114125,-0.02700116,0.001631335,0.009074875,-0.001450663,-0.00091505,-0.019589955,3.37E-07,0.000702974,1.51E-05,1,6.61E-08,-4.77E-05,-7.89E-06,0.318298123,-0.09436185,0.338746473,-0.1517905,0.1517905,0.338521973,0.152091,-0.152091,0.318006573,0.0946944
-1.00212,2.00599,0.114166,-0.027018503,0.001621517,0.008941067,-0.00346782,-0.001963981,-0.026739958,3.37E-07,0.000664464,1.54E-05,1,6.70E-08,-4.60E-05,-7.85E-06,0.318684773,-0.0955342,0.339400973,-0.153677,0.153677,0.339188473,0.1539625,-0.1539625,0.318407823,0.09585015
-1.00226,2.006,0.114206,-0.027028142,0.001609429,0.008803054,-0.001929213,-0.002417517,-0.027579961,3.37E-07,0.000617886,1.66E-05,1,6.78E-08,-4.45E-05,-7.81E-06,0.319067073,-0.0967069,0.340050973,-0.155563,0.155563,0.339848473,0.1558345,-0.1558345,0.318803423,0.09700655
-1.00239,2.006,0.114246,-0.02703098,0.001600251,0.008671563,-0.000558199,-0.001835924,-0.026279964,3.37E-07,0.000602748,1.78E-05,1,6.87E-08,-4.30E-05,-7.77E-06,0.319444073,-0.0978789,0.340695473,-0.1574495,0.1574495,0.340503473,0.1577075,-0.1577075,0.319194023,0.09816395
-1.00253,2.00601,0.114284,-0.027066308,0.001612822,0.008570025,-0.007047746,0.00251409,-0.020289966,3.37E-07,0.00045572,1.29E-05,1,6.95E-08,-4.18E-05,-7.74E-06,0.319817473,-0.0990515,0.341335973,-0.159336,0.159336,0.341153473,0.1595805,-0.1595805,0.319579823,0.09932215
-1.00266,2.00602,0.114323,-0.027084136,0.001602634,0.008446258,-0.003579816,-0.002038357,-0.024739967,3.37E-07,0.0004275,1.41E-05,1,7.04E-08,-4.08E-05,-7.70E-06,0.320186373,-0.1002236,0.341970973,-0.161222,0.161222,0.341797473,0.1614545,-0.1614545,0.319960923,0.10048105
-1.0028,2.00603,0.114361,-0.027094263,0.001587506,0.008320832,-0.00201815,-0.003026543,-0.025069969,3.37E-07,0.000418685,1.45E-05,1,7.12E-08,-3.97E-05,-7.66E-06,0.320551773,-0.1013962,0.342601973,-0.163108,0.163108,0.342437473,0.1633295,-0.1633295,0.320337423,0.10164055
-1.00293,2.00604,0.114398,-0.02710059,0.001570628,0.008197417,-0.001256544,-0.00337651,-0.024669971,3.37E-07,0.000412988,1.48E-05,1,7.21E-08,-3.87E-05,-7.63E-06,0.320912873,-0.1025681,0.343228973,-0.164995,0.164995,0.343072473,0.1652045,-0.1652045,0.320709473,0.1028005
-1.00307,2.00604,0.114434,-0.027082005,0.001528761,0.008110593,0.003728207,-0.008373346,-0.017359972,3.37E-07,0.00023894,2.04E-05,1,7.29E-08,-3.81E-05,-7.58E-06,0.321271273,-0.1037407,0.343851973,-0.166881,0.166881,0.343702973,0.16708,-0.16708,0.321077723,0.10396125
-1.0032,2.00605,0.114471,-0.027068322,0.001504974,0.007999363,0.002722297,-0.004757793,-0.022239972,3.37E-07,0.000216325,2.21E-05,1,7.38E-08,-3.76E-05,-7.52E-06,0.321625973,-0.104913,0.344470973,-0.168767,0.168767,0.344329973,0.168956,-0.168956,0.321442323,0.10512265
-1.00334,2.00606,0.114507,-0.027063642,0.001458236,0.007922749,0.000948033,-0.009347619,-0.015309974,3.37E-07,0.000391754,1.42E-05,1,7.46E-08,-3.66E-05,-7.48E-06,0.321977623,-0.10608535,0.345086973,-0.170653,0.170653,0.344952973,0.170833,-0.170833,0.321802773,0.1062842
-1.00347,2.00606,0.114542,-0.026966375,0.001481501,0.007898367,0.019461018,0.004650824,-0.004849976,3.37E-07,0.000781569,2.56E-05,1,7.55E-08,-3.46E-05,-7.42E-06,0.322326223,-0.10725775,0.345699473,-0.1725395,0.1725395,0.345571973,0.17271,-0.17271,0.322160273,0.1074467
-1.00361,2.00607,0.114578,-0.027071696,0.001513261,0.007886287,-0.021067943,0.006353108,-0.002399978,3.37E-07,0.000494156,1.37E-05,1,7.63E-08,-3.34E-05,-7.39E-06,0.322671973,-0.10843,0.346308473,-0.1744255,0.1744255,0.346187473,0.1745875,-0.1745875,0.322514373,0.1086096
-1.00375,2.00608,0.114614,-0.027144019,0.001496752,0.007792951,-0.014462231,-0.003303059,-0.01865998,3.37E-07,0.000450798,1.33E-05,1,7.72E-08,-3.23E-05,-7.35E-06,0.323014873,-0.1096021,0.346914473,-0.1763115,0.1763115,0.346799473,0.1764655,-0.1764655,0.322865173,0.1097728
