Time,cmd_seq,cmd_sec,cmd_nsec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_c,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_d,state_seq,state_sec,state_nsec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,imu_seq,imu_sec,imu_nsec,imu_orien_x,imu_orien_y,imu_orien_z,imu_orien_w,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imp_seq,imp_sec,imp_nsec,imp_cmd_theta_a,imp_cmd_beta_a,imp_cmd_Fx_a,imp_cmd_Fy_a,imp_cmd_theta_b,imp_cmd_beta_b,imp_cmd_Fx_b,imp_cmd_Fy_b,imp_cmd_theta_c,imp_cmd_beta_c,imp_cmd_Fx_c,imp_cmd_Fy_c,imp_cmd_theta_d,imp_cmd_beta_d,imp_cmd_Fx_d,imp_cmd_Fy_d,force_seq,force_sec,force_nsec,force_Fx_a,force_Fy_a,force_Fx_b,force_Fy_b,force_Fx_c,force_Fy_c,force_Fx_d,force_Fy_d,sim_sec,sim_nsec,sim_pos_x,sim_pos_y,sim_pos_z,sim_orien_x,sim_orien_y,sim_orien_z,sim_orien_w,sim_contact_state_a,sim_contact_state_b,sim_contact_state_c,sim_contact_state_d,power_seq,power_sec,power_nsec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11,dst_lf,dst_rf,dst_rr,dst_lr,camera_dist,camera_yaw
6.947,0,5,6000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6944,6,945000000,1.82906,0.457375,0.000913189,0.000866982,-0.602228,4.51147,1.57984,0.0819324,0.000713367,0.000552825,2.01406,6.48241,1.57793,-0.0725169,-0.00111177,-0.000958317,-7.50109,-2.68875,1.8216,-0.451185,-0.00125687,-0.000601633,-5.73913,0.715864,6944,6,945000000,0.00178683,4.41688e-06,0.000196191,0.999998,-0.000121082,-4.9402e-06,8.28093e-05,-7.14785e-05,0.0350457,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,945999999,-0.0203004,-0.000638867,0.248155,0.00178677,4.41422e-06,0.000196232,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.947,0,5,6000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6945,6,945999999,1.82906,0.457376,0.00091928,0.000865813,-0.602321,4.51139,1.57984,0.081933,0.000713514,0.000552831,2.01399,6.48236,1.57793,-0.072518,-0.00110566,-0.000956916,-7.501,-2.68867,1.8216,-0.451186,-0.0012465,-0.000603039,-5.73903,0.715921,6945,6,945999999,0.00178677,4.41422e-06,0.000196232,0.999998,-0.000121033,-5.14117e-06,8.28085e-05,-7.13124e-05,0.0350445,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,947000000,-0.0203004,-0.000638839,0.248155,0.00178671,4.41147e-06,0.000196274,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.948,0,6,947000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6946,6,947000000,1.82906,0.457377,0.000925069,0.000864662,-0.602415,4.51131,1.57984,0.0819336,0.000713666,0.000552902,2.01393,6.48231,1.57793,-0.072519,-0.00109995,-0.000955533,-7.50092,-2.68858,1.8216,-0.451187,-0.00123636,-0.000604415,-5.73894,0.715978,6946,6,947000000,0.00178671,4.41147e-06,0.000196274,0.999998,-0.000120985,-5.34032e-06,8.28077e-05,-7.11805e-05,0.0350434,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,947000000,-0.0203004,-0.000638839,0.248155,0.00178671,4.41147e-06,0.000196274,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.95,1,6,948000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6947,6,948000000,1.82906,0.457378,0.000930553,0.000863529,-0.602508,4.51124,1.57984,0.0819343,0.000713822,0.000553035,2.01387,6.48226,1.57793,-0.07252,-0.0010947,-0.00095417,-7.50083,-2.6885,1.8216,-0.451188,-0.00122647,-0.000605759,-5.73885,0.716035,6947,6,948000000,0.00178665,4.40861e-06,0.000196315,0.999998,-0.000120936,-5.53786e-06,8.28071e-05,-7.10831e-05,0.0350422,9.80998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,948999999,-0.0203004,-0.000638783,0.248155,0.00178659,4.40566e-06,0.000196357,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.95,2,6,950000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6948,6,948999999,1.82906,0.457379,0.000935733,0.000862418,-0.602601,4.51116,1.57984,0.0819349,0.000713984,0.000553229,2.0138,6.48221,1.57793,-0.072521,-0.00108992,-0.000952825,-7.50074,-2.68842,1.8216,-0.451189,-0.00121687,-0.00060707,-5.73875,0.716092,6948,6,948999999,0.00178659,4.40566e-06,0.000196357,0.999998,-0.000120887,-5.73403e-06,8.28065e-05,-7.10201e-05,0.035041,9.80998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,948999999,-0.0203004,-0.000638783,0.248155,0.00178659,4.40566e-06,0.000196357,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.951,3,6,950000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6949,6,950000000,1.82906,0.457379,0.000940609,0.000861329,-0.602694,4.51109,1.57984,0.0819355,0.00071415,0.000553481,2.01374,6.48216,1.57793,-0.0725221,-0.00108564,-0.000951502,-7.50065,-2.68833,1.8216,-0.45119,-0.00120758,-0.000608345,-5.73866,0.716149,6949,6,950000000,0.00178653,4.40261e-06,0.000196398,0.999998,-0.000120838,-5.92907e-06,8.28059e-05,-7.09917e-05,0.0350399,9.80998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,950000000,-0.0203004,-0.000638756,0.248155,0.00178653,4.40261e-06,0.000196398,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.952,4,6,951000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6950,6,951000000,1.82906,0.45738,0.000945181,0.000860263,-0.602787,4.51101,1.57984,0.0819362,0.000714321,0.00055379,2.01367,6.48211,1.57793,-0.0725231,-0.00108186,-0.000950199,-7.50056,-2.68825,1.8216,-0.451191,-0.00119864,-0.000609581,-5.73857,0.716206,6950,6,951000000,0.00178647,4.39946e-06,0.000196439,0.999998,-0.00012079,-6.12323e-06,8.28054e-05,-7.09975e-05,0.0350387,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,951000000,-0.0203004,-0.000638728,0.248155,0.00178647,4.39946e-06,0.000196439,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.953,5,6,952000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6951,6,952000000,1.82906,0.457381,0.000949451,0.000859224,-0.60288,4.51094,1.57984,0.0819368,0.000714497,0.000554153,2.01361,6.48206,1.57793,-0.0725241,-0.00107862,-0.000948919,-7.50046,-2.68817,1.8216,-0.451192,-0.00119006,-0.000610778,-5.73848,0.716263,6951,6,952000000,0.00178641,4.39622e-06,0.000196481,0.999998,-0.000120742,-6.31675e-06,8.28048e-05,-7.10376e-05,0.0350376,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,952000000,-0.0203004,-0.0006387,0.248155,0.00178641,4.39622e-06,0.000196481,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.955,6,6,953000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6952,6,953000000,1.82906,0.457382,0.000953419,0.000858211,-0.602973,4.51086,1.57984,0.0819374,0.000714679,0.000554569,2.01354,6.48201,1.57793,-0.0725251,-0.00107592,-0.000947662,-7.50037,-2.68808,1.8216,-0.451192,-0.00118189,-0.000611932,-5.73839,0.71632,6952,6,953000000,0.00178635,4.39288e-06,0.000196522,0.999998,-0.000120693,-6.50988e-06,8.28043e-05,-7.11117e-05,0.0350365,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,953999999,-0.0203004,-0.000638644,0.248155,0.00178629,4.38944e-06,0.000196564,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.955,7,6,955000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6953,6,953999999,1.82906,0.457383,0.000957087,0.000857226,-0.603066,4.51079,1.57984,0.0819381,0.000714866,0.000555035,2.01348,6.48196,1.57793,-0.0725261,-0.00107377,-0.000946431,-7.50028,-2.688,1.8216,-0.451193,-0.00117413,-0.000613041,-5.73829,0.716377,6953,6,953999999,0.00178629,4.38944e-06,0.000196564,0.999998,-0.000120645,-6.70289e-06,8.28038e-05,-7.12195e-05,0.0350353,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,953999999,-0.0203004,-0.000638644,0.248155,0.00178629,4.38944e-06,0.000196564,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
6.956,8,6,955000000,1.85747,0.47911,0,0,1.60467,0.129147,0,0,1.60467,-0.129147,0,0,1.85747,-0.47911,0,0,6954,6,955000000,1.82906,0.457384,0.000960459,0.000856271,-0.603158,4.51071,1.57984,0.0819387,0.000715059,0.000555549,2.01341,6.48191,1.57793,-0.0725271,-0.00107217,-0.000945228,-7.50018,-2.68792,1.8216,-0.451194,-0.00116681,-0.000614105,-5.7382,0.716434,6954,6,955000000,0.00178623,4.38591e-06,0.000196605,0.999998,-0.000120598,-6.89601e-06,8.28033e-05,-7.13608e-05,0.0350342,9.80997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,955000000,-0.0203004,-0.000638616,0.248155,0.00178623,4.38591e-06,0.000196605,0.999998,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
