theta,beta,x,y,phase
0.917761,0.623542,-0.072567,-0.112170,swing
0.917613,0.623298,-0.072603,-0.112140,swing
0.917329,0.622828,-0.072673,-0.112081,swing
0.916927,0.622159,-0.072771,-0.111998,swing
0.916428,0.621329,-0.072893,-0.111895,swing
0.915860,0.620380,-0.073032,-0.111778,swing
0.915255,0.619365,-0.073181,-0.111652,swing
0.914648,0.618340,-0.073331,-0.111524,swing
0.914077,0.617368,-0.073472,-0.111404,swing
0.913582,0.616514,-0.073596,-0.111299,swing
0.913205,0.615849,-0.073692,-0.111218,swing
0.912988,0.615442,-0.073750,-0.111169,swing
0.912972,0.615365,-0.073759,-0.111162,swing
0.913197,0.615688,-0.073710,-0.111205,swing
0.913699,0.616479,-0.073593,-0.111306,swing
0.914513,0.617802,-0.073399,-0.111473,swing
0.915670,0.619717,-0.073118,-0.111713,swing
0.917193,0.622279,-0.072742,-0.112030,swing
0.919104,0.625537,-0.072264,-0.112429,swing
0.921416,0.629529,-0.071677,-0.112913,swing
0.924136,0.634289,-0.070976,-0.113483,swing
0.927266,0.639840,-0.070156,-0.114138,swing
0.930800,0.646198,-0.069213,-0.114878,swing
0.934724,0.653366,-0.068144,-0.115697,swing
0.939019,0.661341,-0.066950,-0.116592,swing
0.943657,0.670108,-0.065629,-0.117554,swing
0.948605,0.679642,-0.064185,-0.118576,swing
0.953821,0.689910,-0.062621,-0.119649,swing
0.959258,0.700869,-0.060942,-0.120760,swing
0.964865,0.712466,-0.059156,-0.121900,swing
0.970582,0.724642,-0.057271,-0.123055,swing
0.976346,0.737326,-0.055299,-0.124214,swing
0.982091,0.750443,-0.053253,-0.125362,swing
0.987745,0.763909,-0.051147,-0.126489,swing
0.993234,0.777633,-0.048998,-0.127581,swing
0.998481,0.791519,-0.046826,-0.128628,swing
1.003410,0.805466,-0.044650,-0.129618,swing
1.007941,0.819366,-0.042491,-0.130541,swing
1.011996,0.833109,-0.040373,-0.131391,swing
1.015497,0.846582,-0.038319,-0.132158,swing
1.018370,0.859666,-0.036354,-0.132838,swing
1.020539,0.872245,-0.034502,-0.133426,swing
1.021937,0.884198,-0.032789,-0.133919,swing
1.022498,0.895406,-0.031239,-0.134313,swing
1.022164,0.905753,-0.029876,-0.134608,swing
1.020881,0.915123,-0.028722,-0.134804,swing
1.018605,0.923409,-0.027798,-0.134899,swing
1.015301,0.930507,-0.027122,-0.134893,swing
1.010945,0.936323,-0.026711,-0.134788,swing
1.005523,0.940777,-0.026575,-0.134582,swing
0.999035,0.943801,-0.026725,-0.134275,swing
0.991496,0.945343,-0.027163,-0.133866,swing
0.982936,0.945371,-0.027890,-0.133354,swing
0.973400,0.943875,-0.028899,-0.132736,swing
0.962952,0.940870,-0.030179,-0.132011,swing
0.951670,0.936393,-0.031714,-0.131179,swing
0.939652,0.930512,-0.033481,-0.130237,swing
0.927008,0.923317,-0.035453,-0.129189,swing
0.913865,0.914926,-0.037598,-0.128036,swing
0.900359,0.905482,-0.039882,-0.126785,swing
0.886636,0.895145,-0.042267,-0.125444,swing
0.872847,0.884095,-0.044712,-0.124024,swing
0.859145,0.872522,-0.047181,-0.122542,swing
0.845679,0.860625,-0.049634,-0.121014,swing
0.832595,0.848602,-0.052036,-0.119461,swing
0.820025,0.836649,-0.054354,-0.117905,swing
0.808092,0.824952,-0.056561,-0.116368,swing
0.796902,0.813684,-0.058632,-0.114873,swing
0.786545,0.803003,-0.060547,-0.113443,swing
0.777093,0.793046,-0.062294,-0.112098,swing
0.768599,0.783929,-0.063859,-0.110857,swing
0.761102,0.775749,-0.065238,-0.109735,swing
0.754621,0.768581,-0.066427,-0.108746,swing
0.749162,0.762479,-0.067425,-0.107898,swing
0.744719,0.757478,-0.068233,-0.107199,swing
0.741272,0.753596,-0.068857,-0.106653,swing
0.738793,0.750835,-0.069299,-0.106260,swing
0.737247,0.749185,-0.069567,-0.106020,swing
0.736592,0.748622,-0.069665,-0.105927,swing
0.736782,0.749114,-0.069602,-0.105977,swing
0.737767,0.750619,-0.069383,-0.106162,swing
0.739497,0.753089,-0.069017,-0.106474,swing
0.741918,0.756470,-0.068511,-0.106903,swing
0.744978,0.760705,-0.067871,-0.107440,swing
0.748623,0.765732,-0.067106,-0.108073,swing
0.752801,0.771489,-0.066224,-0.108793,swing
0.757460,0.777909,-0.065231,-0.109586,swing
0.762551,0.784929,-0.064136,-0.110444,swing
0.768024,0.792481,-0.062946,-0.111354,swing
0.773833,0.800502,-0.061670,-0.112307,swing
0.779933,0.808928,-0.060316,-0.113292,swing
0.786280,0.817699,-0.058892,-0.114301,swing
0.792835,0.826756,-0.057405,-0.115324,swing
0.799561,0.836046,-0.055863,-0.116354,swing
0.806423,0.845520,-0.054274,-0.117384,swing
0.813392,0.855132,-0.052643,-0.118407,swing
0.820442,0.864846,-0.050978,-0.119420,swing
0.827553,0.874630,-0.049283,-0.120418,swing
0.834709,0.884461,-0.047561,-0.121398,swing
0.841901,0.894326,-0.045816,-0.122358,swing
0.849125,0.904219,-0.044048,-0.123297,swing
