theta,beta,x,y,phase
0.904633,0.428628,0.032503,-0.157315,swing
0.901504,0.419745,0.030991,-0.157357,swing
0.898345,0.410833,0.029476,-0.157384,swing
0.895157,0.401860,0.027953,-0.157396,swing
0.891939,0.392798,0.026417,-0.157393,swing
0.888692,0.383620,0.024864,-0.157375,swing
0.885415,0.374297,0.023290,-0.157344,swing
0.882108,0.364805,0.021691,-0.157298,swing
0.878771,0.355117,0.020063,-0.157238,swing
0.875405,0.345210,0.018404,-0.157162,swing
0.872009,0.335061,0.016709,-0.157071,swing
0.868584,0.324645,0.014976,-0.156964,swing
0.865129,0.313942,0.013201,-0.156838,swing
0.861644,0.302931,0.011381,-0.156694,swing
0.858130,0.291592,0.009514,-0.156530,swing
0.854586,0.279904,0.007597,-0.156344,swing
0.851012,0.267850,0.005628,-0.156134,swing
0.847409,0.255413,0.003605,-0.155898,swing
0.843776,0.242574,0.001526,-0.155635,swing
0.840113,0.229317,-0.000611,-0.155341,swing
0.836421,0.215629,-0.002808,-0.155014,swing
0.832699,0.201492,-0.005065,-0.154651,swing
0.828947,0.186895,-0.007385,-0.154251,swing
0.825166,0.171823,-0.009767,-0.153808,swing
0.821355,0.156264,-0.012212,-0.153320,swing
0.817514,0.140207,-0.014720,-0.152784,swing
0.813644,0.123640,-0.017293,-0.152195,swing
0.809744,0.106552,-0.019929,-0.151551,swing
0.805815,0.088936,-0.022627,-0.150846,swing
0.801856,0.070780,-0.025389,-0.150078,swing
0.797867,0.052078,-0.028211,-0.149241,swing
0.793848,0.032821,-0.031093,-0.148332,swing
0.789800,0.013003,-0.034033,-0.147345,swing
0.785723,-0.007383,-0.037029,-0.146277,swing
0.781615,-0.028343,-0.040079,-0.145123,swing
0.777478,-0.049881,-0.043180,-0.143878,swing
0.773311,-0.072003,-0.046328,-0.142538,swing
0.769115,-0.094711,-0.049521,-0.141097,swing
0.764889,-0.118010,-0.052754,-0.139552,swing
0.760633,-0.141901,-0.056024,-0.137897,swing
0.756348,-0.166387,-0.059325,-0.136129,swing
0.752033,-0.191470,-0.062652,-0.134241,swing
0.747688,-0.217150,-0.066000,-0.132231,swing
0.743314,-0.243429,-0.069364,-0.130095,swing
0.738910,-0.270304,-0.072737,-0.127827,swing
0.734476,-0.297777,-0.076111,-0.125424,swing
0.730013,-0.325846,-0.079482,-0.122884,swing
0.725520,-0.354509,-0.082840,-0.120202,swing
0.720998,-0.383765,-0.086178,-0.117375,swing
0.716446,-0.413609,-0.089488,-0.114402,swing
0.711864,-0.444040,-0.092762,-0.111279,swing
0.707252,-0.475053,-0.095990,-0.108006,swing
0.702611,-0.506644,-0.099164,-0.104580,swing
0.697940,-0.538810,-0.102274,-0.101001,swing
0.693240,-0.571544,-0.105311,-0.097270,swing
0.688510,-0.604841,-0.108264,-0.093385,swing
0.683750,-0.638696,-0.111124,-0.089348,swing
0.678961,-0.673102,-0.113880,-0.085160,swing
0.674141,-0.708053,-0.116523,-0.080824,swing
0.669293,-0.743541,-0.119041,-0.076342,swing
0.664414,-0.779558,-0.121424,-0.071718,swing
0.659506,-0.816098,-0.123663,-0.066956,swing
0.654569,-0.853151,-0.125746,-0.062060,swing
0.649601,-0.890710,-0.127663,-0.057037,swing
0.644604,-0.928764,-0.129405,-0.051892,swing
0.639578,-0.967305,-0.130961,-0.046632,swing
0.634521,-1.006324,-0.132322,-0.041266,swing
0.629436,-1.045809,-0.133480,-0.035802,swing
0.624320,-1.085751,-0.134424,-0.030249,swing
0.619175,-1.126139,-0.135148,-0.024617,swing
0.614000,-1.166963,-0.135642,-0.018916,swing
0.608795,-1.208211,-0.135901,-0.013158,swing
0.603561,-1.249871,-0.135917,-0.007355,swing
0.598297,-1.291932,-0.135685,-0.001519,swing
0.593004,-1.334382,-0.135199,0.004337,swing
0.587681,-1.377208,-0.134456,0.010201,swing
0.582328,-1.420399,-0.133451,0.016056,swing
0.576945,-1.463941,-0.132183,0.021891,swing
0.571533,-1.507821,-0.130649,0.027689,swing
0.566092,-1.552027,-0.128849,0.033437,swing
0.560620,-1.596544,-0.126782,0.039119,swing
0.555119,-1.641359,-0.124451,0.044720,swing
0.549588,-1.686460,-0.121857,0.050225,swing
0.544028,-1.731830,-0.119004,0.055619,swing
0.538438,-1.777457,-0.115896,0.060886,swing
0.532818,-1.823326,-0.112538,0.066013,swing
0.527169,-1.869423,-0.108937,0.070984,swing
0.521490,-1.915734,-0.105100,0.075785,swing
0.515781,-1.962242,-0.101035,0.080403,swing
0.510043,-2.008935,-0.096753,0.084824,swing
0.504275,-2.055796,-0.092262,0.089035,swing
0.498478,-2.102811,-0.087574,0.093024,swing
0.492650,-2.149965,-0.082701,0.096781,swing
